State,District,Area (sq km),Households,Total Population,Total Males,Total Females,Literate Population,Literate Males,Literate Females,Illiterate Population,Males Illiterates,Female Illiterates,Total Working Population,Total Working Males,Total Working Females,Unemployed Population,Unemployed Males,Unemployed Females,ST,SC,Hindus,Muslims,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,Households.1,Rural_Households,Urban_Households,Households_with_Internet,MPI HCR
ANDHRA PRADESH,Adilabad,16105.0,649849,2741239,1369597,1371642,1483347,856350,156831,1257892,513247,744645,1323667,748939,574728,1417572,620658,796914,495794,488596,2399901,275970,1377,25510,617,322,22120,817714,597466,220248,5512,27.12%
UTTAR PRADESH,Agra,4041.0,710566,4418797,2364953,2053844,2680510,1614594,127908,1738287,750359,987928,1389844,1119701,270143,3028953,1245252,1783701,7255,991325,3922718,411313,12057,4049,21508,384,36692,903823,496971,406852,27183,32.83%
GUJARAT,Ahmadabad,8107.0,1510134,7214225,3788051,3426174,5435760,3025463,30936,1778465,762588,1015877,2594952,2127547,467405,4619273,1660504,2958769,89138,759483,6042416,883238,14542,4518,209287,2055,7415,2198552,353169,1845383,126341,5.85%
MAHARASHTRA,Ahmadnagar,17048.0,930024,4543159,2342825,2200334,3151890,1773355,29935,1391269,569470,821799,2204590,1300309,904281,2338569,1042516,1296053,378230,573698,4107143,320743,5431,33898,38718,1408,13052,1323404,1041393,282011,18370,15.40%
MIZORAM,Aizawl,3576.0,82524,400309,199270,201039,340595,169547,98391,59714,29723,29991,174636,104643,69993,225673,94627,131046,373542,627,13249,5264,105,1570,76,505,406,100911,20570,80341,4019,1.76%
RAJASTHAN,Ajmer,8481.0,494832,2583052,1324085,1258967,1526673,926268,139640,1056379,397817,658562,1053722,686149,367573,1529330,637936,891394,63482,478027,2201663,314159,6799,417,45614,184,3611,684254,409335,274919,13499,17.90%
MAHARASHTRA,Akola,5676.0,395690,1813906,932334,881572,1411281,758977,160705,402625,173357,229268,768154,520362,247792,1045752,411972,633780,100280,364059,1107809,357253,1504,328033,10205,389,4230,504235,308158,196077,6163,13.38%
KERALA,Alappuzha,1415.0,535958,2127789,1013142,1114647,1852797,890552,207979,274992,122590,152402,804471,536738,267733,1323318,476404,846914,6574,201211,1460447,224545,268,146,74,311,6942,723536,331419,392117,28842,0.71%
UTTAR PRADESH,Aligarh,3650.0,611371,3673889,1951996,1721893,2092567,1283380,68921,1581322,668616,912706,1174361,929337,245024,2499528,1022659,1476869,629,755254,2904140,729283,5875,2582,2805,91,21478,858059,582117,275942,13634,37.26%
MADHYA PRADESH,Alirajpur,3182.0,123800,728999,362542,366457,209754,120905,316838,519245,241637,277608,366797,188698,178099,362202,173844,188358,648638,26877,705060,17660,65,36,780,271,527,150528,135866,14662,297,71.31%
UTTAR PRADESH,Allahabad,5482.0,976733,5954391,3131807,2822584,3665727,2199340,52695,2288664,932467,1356197,2111907,1426110,685797,3842484,1705697,2136787,7955,1309851,5102041,796756,4377,4391,2247,305,30492,1248570,983266,265304,24122,32.77%
UTTARAKHAND,Almora,3144.0,140577,622506,291081,331425,436497,231604,115632,186009,59477,126532,298211,142460,155751,324295,148621,175674,1281,150995,611250,7752,256,201,31,6,1115,281138,260056,21082,1830,25.65%
RAJASTHAN,Alwar,8380.0,639720,3674179,1939026,1735153,2182476,1359829,56145,1491703,579197,912506,1708542,994171,714371,1965637,944855,1020782,289249,653036,3039279,547335,64532,4384,13221,348,2384,995261,782294,212967,9750,29.96%
HARYANA,Ambala,1574.0,224334,1128350,598703,529647,818025,461288,221115,310325,137415,172910,372139,320120,52019,756211,278583,477628,0,296246,955096,22143,138202,381,4845,110,3868,315256,175365,139891,12899,1.99%
UTTAR PRADESH,Ambedkar Nagar,2350.0,368728,2397888,1212410,1185478,1486939,846676,84033,910949,365734,545215,787398,547406,239992,1610490,665004,945486,746,591125,1985654,401678,869,1817,235,33,5066,566590,501559,65031,2509,34.03%
MAHARASHTRA,Amravati,12210.0,647451,2888445,1480768,1407677,2251875,1207104,80463,636570,273664,362906,1236322,837577,398745,1652123,643191,1008932,404128,506374,2055177,421410,2242,383891,11360,3288,3854,781815,508921,272894,9438,12.24%
GUJARAT,Amreli,7397.0,294837,1514190,771049,743141,995459,558180,41127,518731,212869,305862,657139,453642,203497,857051,317407,539644,7322,132915,1410463,99105,415,243,2053,40,952,430613,313714,116899,2538,11.95%
PUNJAB,Amritsar,2683.0,488898,2490656,1318408,1172248,1684770,932981,38806,805886,385427,420459,917856,735195,182661,1572800,583213,989587,0,770864,690939,12502,1716935,876,3152,1044,10864,660953,275477,385476,29961,7.42%
GUJARAT,Anand,3204.0,427605,2092745,1087224,1005521,1551253,874481,124811,541492,212743,328749,844794,627561,217233,1247951,459663,788288,24824,104465,1798794,250919,1524,267,8591,142,2719,621987,413078,208909,9902,14.81%
ANDHRA PRADESH,Anantapur,19130.0,968160,4081148,2064495,2016653,2310960,1338474,56605,1770188,726021,1044167,2036166,1208544,827622,2044982,855951,1189031,154127,583135,3599372,443456,932,341,1417,309,14858,1244428,902997,341431,8606,12.47%
JAMMU AND KASHMIR,Anantnag,3574.0,153640,1078692,559767,518925,545532,324417,495219,533160,235350,297810,389684,244032,145652,689008,315735,373273,116006,1826,13180,1057005,6140,55,7,7,849,277733,207067,70666,2712,8.36%
ARUNACHAL PRADESH,Anjaw,6190.0,4612,21167,11507,9660,9990,6523,97827,11177,4984,6193,10501,6224,4277,10666,5283,5383,16451,0,13088,655,273,644,12,6137,87,6453,6025,428,27,22.86%
ORISSA,Anugul,6375.0,297050,1273821,655718,618103,869456,494425,137778,404365,161293,243072,526520,360947,165573,747301,294771,452530,179603,239552,1258684,7512,812,226,36,971,2197,414587,340410,74177,5564,24.57%
MADHYA PRADESH,Anuppur,3747.0,170715,749237,379114,370123,436595,254120,546197,312642,124994,187648,346471,207401,139070,402766,171713,231053,358543,74385,686524,21473,606,86,1653,35434,1329,207713,147388,60325,1290,41.65%
