state_name,is_state,year,category,type,gender,age_16_18,age_18_30,age_30_50,age_50_above
A & N Islands,0,2001,Foreigners,Convicts,Female,0,0,0,0
A & N Islands,0,2001,Foreigners,Convicts,Male,0,12,139,2
A & N Islands,0,2001,Foreigners,Detenus,Female,0,0,0,0
A & N Islands,0,2001,Foreigners,Detenus,Male,0,0,0,0
A & N Islands,0,2001,Foreigners,Others,Female,0,0,0,0
A & N Islands,0,2001,Foreigners,Others,Male,0,0,0,0
A & N Islands,0,2001,Foreigners,Under Trials,Female,0,0,0,0
A & N Islands,0,2001,Foreigners,Under Trials,Male,0,61,47,5
A & N Islands,0,2001,Indians,Convicts,Female,0,0,3,0
A & N Islands,0,2001,Indians,Convicts,Male,0,18,38,5
A & N Islands,0,2001,Indians,Detenus,Female,0,0,0,0
A & N Islands,0,2001,Indians,Detenus,Male,0,0,0,0
A & N Islands,0,2001,Indians,Others,Female,0,0,0,0
A & N Islands,0,2001,Indians,Others,Male,0,0,0,0
A & N Islands,0,2001,Indians,Under Trials,Female,0,1,0,0
A & N Islands,0,2001,Indians,Under Trials,Male,0,16,32,4
A & N Islands,0,2002,Foreigners,Convicts,Female,0,0,0,0
A & N Islands,0,2002,Foreigners,Convicts,Male,0,10,55,3
A & N Islands,0,2002,Foreigners,Detenus,Female,0,0,0,0
A & N Islands,0,2002,Foreigners,Detenus,Male,0,0,0,0
A & N Islands,0,2002,Foreigners,Others,Female,0,0,0,0
A & N Islands,0,2002,Foreigners,Others,Male,0,0,0,0
A & N Islands,0,2002,Foreigners,Under Trials,Female,0,0,0,0
A & N Islands,0,2002,Foreigners,Under Trials,Male,0,75,41,5
A & N Islands,0,2002,Indians,Convicts,Female,0,0,3,1
A & N Islands,0,2002,Indians,Convicts,Male,0,24,36,5
A & N Islands,0,2002,Indians,Detenus,Female,0,0,0,0
A & N Islands,0,2002,Indians,Detenus,Male,0,0,0,0
A & N Islands,0,2002,Indians,Others,Female,0,0,0,0
A & N Islands,0,2002,Indians,Others,Male,0,0,0,0
A & N Islands,0,2002,Indians,Under Trials,Female,0,2,2,0
A & N Islands,0,2002,Indians,Under Trials,Male,0,29,33,7
A & N Islands,0,2003,Foreigners,Convicts,Female,0,0,0,0
A & N Islands,0,2003,Foreigners,Convicts,Male,0,14,9,0
A & N Islands,0,2003,Foreigners,Detenus,Female,0,0,0,0
A & N Islands,0,2003,Foreigners,Detenus,Male,0,0,0,0
A & N Islands,0,2003,Foreigners,Others,Female,0,0,0,0
A & N Islands,0,2003,Foreigners,Others,Male,0,0,0,0
A & N Islands,0,2003,Foreigners,Under Trials,Female,0,0,0,0
A & N Islands,0,2003,Foreigners,Under Trials,Male,0,80,29,2
A & N Islands,0,2003,Indians,Convicts,Female,0,2,0,0
A & N Islands,0,2003,Indians,Convicts,Male,0,37,27,3
A & N Islands,0,2003,Indians,Detenus,Female,0,0,0,0
A & N Islands,0,2003,Indians,Detenus,Male,0,0,0,0
A & N Islands,0,2003,Indians,Others,Female,0,0,0,0
A & N Islands,0,2003,Indians,Others,Male,0,0,0,0
A & N Islands,0,2003,Indians,Under Trials,Female,0,0,1,0
A & N Islands,0,2003,Indians,Under Trials,Male,0,48,40,4
A & N Islands,0,2004,Foreigners,Convicts,Female,0,0,0,0
A & N Islands,0,2004,Foreigners,Convicts,Male,0,0,0,0
A & N Islands,0,2004,Foreigners,Detenus,Female,0,0,0,0
A & N Islands,0,2004,Foreigners,Detenus,Male,0,0,0,0
A & N Islands,0,2004,Foreigners,Others,Female,0,0,0,0
A & N Islands,0,2004,Foreigners,Others,Male,0,0,0,0
