state_name,is_state,year,gender,domicile,convicts,under_trial,detenues,others
A & N Islands,0,2001,Female,Belongs to other Country,0,0,0,0
A & N Islands,0,2001,Female,Belongs to other State,0,0,0,0
A & N Islands,0,2001,Female,Belongs to State,3,1,0,0
A & N Islands,0,2001,Male,Belongs to other Country,153,113,0,0
A & N Islands,0,2001,Male,Belongs to other State,0,0,0,0
A & N Islands,0,2001,Male,Belongs to State,61,52,0,0
A & N Islands,0,2002,Female,Belongs to other Country,0,0,0,0
A & N Islands,0,2002,Female,Belongs to other State,0,0,0,0
A & N Islands,0,2002,Female,Belongs to State,4,4,0,0
A & N Islands,0,2002,Male,Belongs to other Country,68,121,0,0
A & N Islands,0,2002,Male,Belongs to other State,0,0,0,0
A & N Islands,0,2002,Male,Belongs to State,65,69,0,0
A & N Islands,0,2003,Female,Belongs to other Country,0,0,0,0
A & N Islands,0,2003,Female,Belongs to other State,0,0,0,0
A & N Islands,0,2003,Female,Belongs to State,2,1,0,0
A & N Islands,0,2003,Male,Belongs to other Country,23,111,0,0
A & N Islands,0,2003,Male,Belongs to other State,17,10,0,0
A & N Islands,0,2003,Male,Belongs to State,50,82,0,0
A & N Islands,0,2004,Female,Belongs to other Country,0,0,0,0
A & N Islands,0,2004,Female,Belongs to other State,0,0,0,0
A & N Islands,0,2004,Female,Belongs to State,2,1,0,0
A & N Islands,0,2004,Male,Belongs to other Country,0,68,0,0
A & N Islands,0,2004,Male,Belongs to other State,15,8,0,0
A & N Islands,0,2004,Male,Belongs to State,39,88,0,0
A & N Islands,0,2005,Female,Belongs to other Country,0,0,0,0
A & N Islands,0,2005,Female,Belongs to other State,0,0,0,0
A & N Islands,0,2005,Female,Belongs to State,1,3,0,0
A & N Islands,0,2005,Male,Belongs to other Country,1,90,0,0
A & N Islands,0,2005,Male,Belongs to other State,0,0,0,0
A & N Islands,0,2005,Male,Belongs to State,64,65,0,0
A & N Islands,0,2006,Female,Belongs to other Country,0,0,0,0
A & N Islands,0,2006,Female,Belongs to other State,0,0,0,0
A & N Islands,0,2006,Female,Belongs to State,1,1,0,0
A & N Islands,0,2006,Male,Belongs to other Country,24,178,0,0
A & N Islands,0,2006,Male,Belongs to other State,0,0,0,0
A & N Islands,0,2006,Male,Belongs to State,56,86,0,0
A & N Islands,0,2007,Female,Belongs to other Country,0,0,0,0
A & N Islands,0,2007,Female,Belongs to other State,0,0,0,0
A & N Islands,0,2007,Female,Belongs to State,1,1,0,0
A & N Islands,0,2007,Male,Belongs to other Country,28,256,0,0
A & N Islands,0,2007,Male,Belongs to other State,0,0,0,0
A & N Islands,0,2007,Male,Belongs to State,59,68,0,0
A & N Islands,0,2008,Female,Belongs to other Country,0,0,0,0
A & N Islands,0,2008,Female,Belongs to other State,0,0,0,0
A & N Islands,0,2008,Female,Belongs to State,0,0,0,0
A & N Islands,0,2008,Male,Belongs to other Country,19,50,0,0
A & N Islands,0,2008,Male,Belongs to other State,0,0,0,0
A & N Islands,0,2008,Male,Belongs to State,49,103,0,0
A & N Islands,0,2009,Female,Belongs to other Country,0,0,0,0
A & N Islands,0,2009,Female,Belongs to other State,0,0,0,0
A & N Islands,0,2009,Female,Belongs to State,0,0,0,0
A & N Islands,0,2009,Male,Belongs to other Country,0,105,0,0
A & N Islands,0,2009,Male,Belongs to other State,0,0,0,0
A & N Islands,0,2009,Male,Belongs to State,48,75,0,0
A & N Islands,0,2010,Female,Belongs to other Country,0,0,0,0
A & N Islands,0,2010,Female,Belongs to other State,0,0,0,0
A & N Islands,0,2010,Female,Belongs to State,0,2,0,0
A & N Islands,0,2010,Male,Belongs to other Country,72,494,0,0
A & N Islands,0,2010,Male,Belongs to other State,0,0,0,0
A & N Islands,0,2010,Male,Belongs to State,57,63,0,0
A & N Islands,0,2011,Female,Belongs to other Country,0,1,0,0
A & N Islands,0,2011,Female,Belongs to other State,0,0,0,0
A & N Islands,0,2011,Female,Belongs to State,0,6,0,0
A & N Islands,0,2011,Male,Belongs to other Country,357,588,0,0
A & N Islands,0,2011,Male,Belongs to other State,0,6,0,0
A & N Islands,0,2011,Male,Belongs to State,58,103,0,0
A & N Islands,0,2012,Female,Belongs to other Country,0,1,0,0
A & N Islands,0,2012,Female,Belongs to other State,0,0,0,0
A & N Islands,0,2012,Female,Belongs to State,0,8,0,0
A & N Islands,0,2012,Male,Belongs to other Country,705,264,0,0
A & N Islands,0,2012,Male,Belongs to other State,0,0,0,0
A & N Islands,0,2012,Male,Belongs to State,55,93,0,0
A & N Islands,0,2013,Female,Belongs to State,1,6,0,0
A & N Islands,0,2013,Female,Belongs to other State,0,0,0,0
A & N Islands,0,2013,Female,Belongs to other Country,0,1,0,0
A & N Islands,0,2013,Male,Belongs to State,57,77,0,0
A & N Islands,0,2013,Male,Belongs to other State,0,0,0,0
A & N Islands,0,2013,Male,Belongs to other Country,898,109,0,0
Andhra Pradesh,1,2001,Female,Belongs to other Country,0,0,1,0
Andhra Pradesh,1,2001,Female,Belongs to other State,0,8,0,0
Andhra Pradesh,1,2001,Female,Belongs to State,102,474,0,0
Andhra Pradesh,1,2001,Male,Belongs to other Country,3,12,0,0
Andhra Pradesh,1,2001,Male,Belongs to other State,37,164,0,0
Andhra Pradesh,1,2001,Male,Belongs to State,4079,8184,4,22
Andhra Pradesh,1,2002,Female,Belongs to other Country,0,0,0,0
Andhra Pradesh,1,2002,Female,Belongs to other State,0,3,0,0
Andhra Pradesh,1,2002,Female,Belongs to State,151,554,0,0
Andhra Pradesh,1,2002,Male,Belongs to other Country,4,2,0,0
Andhra Pradesh,1,2002,Male,Belongs to other State,81,205,0,0
Andhra Pradesh,1,2002,Male,Belongs to State,4636,7785,2,0
Andhra Pradesh,1,2003,Female,Belongs to other Country,0,3,0,0
Andhra Pradesh,1,2003,Female,Belongs to other State,0,3,0,0
Andhra Pradesh,1,2003,Female,Belongs to State,172,535,0,0
Andhra Pradesh,1,2003,Male,Belongs to other Country,1,3,0,0
Andhra Pradesh,1,2003,Male,Belongs to other State,77,279,0,0
Andhra Pradesh,1,2003,Male,Belongs to State,4897,8096,18,0
Andhra Pradesh,1,2004,Female,Belongs to other Country,0,1,0,0
Andhra Pradesh,1,2004,Female,Belongs to other State,0,5,0,0
Andhra Pradesh,1,2004,Female,Belongs to State,197,573,9,0
Andhra Pradesh,1,2004,Male,Belongs to other Country,0,4,0,0
Andhra Pradesh,1,2004,Male,Belongs to other State,62,230,0,0
Andhra Pradesh,1,2004,Male,Belongs to State,4506,8265,29,0
Andhra Pradesh,1,2005,Female,Belongs to other Country,0,0,0,0
Andhra Pradesh,1,2005,Female,Belongs to other State,0,6,0,0
Andhra Pradesh,1,2005,Female,Belongs to State,198,680,0,0
Andhra Pradesh,1,2005,Male,Belongs to other Country,1,6,0,0
Andhra Pradesh,1,2005,Male,Belongs to other State,52,193,0,0
Andhra Pradesh,1,2005,Male,Belongs to State,4760,8707,10,0
Andhra Pradesh,1,2006,Female,Belongs to other Country,0,0,0,0
Andhra Pradesh,1,2006,Female,Belongs to other State,1,31,0,0
Andhra Pradesh,1,2006,Female,Belongs to State,206,606,1,0
Andhra Pradesh,1,2006,Male,Belongs to other Country,1,5,0,0
Andhra Pradesh,1,2006,Male,Belongs to other State,140,432,0,0
Andhra Pradesh,1,2006,Male,Belongs to State,4939,9008,17,34
Andhra Pradesh,1,2007,Female,Belongs to other Country,1,0,0,0
Andhra Pradesh,1,2007,Female,Belongs to other State,1,7,0,0
Andhra Pradesh,1,2007,Female,Belongs to State,230,628,0,0
Andhra Pradesh,1,2007,Male,Belongs to other Country,0,27,0,0
Andhra Pradesh,1,2007,Male,Belongs to other State,91,241,0,0
Andhra Pradesh,1,2007,Male,Belongs to State,5236,8542,21,20
Andhra Pradesh,1,2008,Female,Belongs to other Country,0,0,0,0
Andhra Pradesh,1,2008,Female,Belongs to other State,0,0,0,0
Andhra Pradesh,1,2008,Female,Belongs to State,223,651,0,0
Andhra Pradesh,1,2008,Male,Belongs to other Country,3,9,0,0
Andhra Pradesh,1,2008,Male,Belongs to other State,66,74,0,0
Andhra Pradesh,1,2008,Male,Belongs to State,5086,7935,21,12
Andhra Pradesh,1,2009,Female,Belongs to other Country,1,2,0,0
Andhra Pradesh,1,2009,Female,Belongs to other State,1,8,0,0
Andhra Pradesh,1,2009,Female,Belongs to State,195,567,2,0
Andhra Pradesh,1,2009,Male,Belongs to other Country,1,83,0,0
Andhra Pradesh,1,2009,Male,Belongs to other State,64,197,0,0
Andhra Pradesh,1,2009,Male,Belongs to State,4274,7360,38,15
Andhra Pradesh,1,2010,Female,Belongs to other Country,1,3,0,0
Andhra Pradesh,1,2010,Female,Belongs to other State,0,8,0,0
Andhra Pradesh,1,2010,Female,Belongs to State,230,535,2,0
Andhra Pradesh,1,2010,Male,Belongs to other Country,10,71,0,0
Andhra Pradesh,1,2010,Male,Belongs to other State,49,148,0,0
Andhra Pradesh,1,2010,Male,Belongs to State,4508,6884,28,13
Andhra Pradesh,1,2011,Female,Belongs to other Country,1,3,0,0
Andhra Pradesh,1,2011,Female,Belongs to other State,1,2,0,0
Andhra Pradesh,1,2011,Female,Belongs to State,259,575,1,0
Andhra Pradesh,1,2011,Male,Belongs to other Country,9,40,0,0
Andhra Pradesh,1,2011,Male,Belongs to other State,44,145,0,0
Andhra Pradesh,1,2011,Male,Belongs to State,4324,7779,13,17
Andhra Pradesh,1,2012,Female,Belongs to other Country,2,10,0,0
Andhra Pradesh,1,2012,Female,Belongs to other State,0,4,0,0
Andhra Pradesh,1,2012,Female,Belongs to State,283,623,1,1
Andhra Pradesh,1,2012,Male,Belongs to other Country,5,17,0,0
Andhra Pradesh,1,2012,Male,Belongs to other State,46,156,0,0
Andhra Pradesh,1,2012,Male,Belongs to State,4386,7741,3,7
Andhra Pradesh,1,2013,Female,Belongs to State,286,599,1,0
Andhra Pradesh,1,2013,Female,Belongs to other State,0,5,0,0
Andhra Pradesh,1,2013,Female,Belongs to other Country,3,5,0,0
Andhra Pradesh,1,2013,Male,Belongs to State,4256,8736,6,7
Andhra Pradesh,1,2013,Male,Belongs to other State,44,308,0,0
Andhra Pradesh,1,2013,Male,Belongs to other Country,9,48,0,0
Arunachal Pradesh,1,2009,Female,Belongs to other Country,0,0,0,0
Arunachal Pradesh,1,2009,Female,Belongs to other State,0,2,0,0
Arunachal Pradesh,1,2009,Female,Belongs to State,0,2,0,0
Arunachal Pradesh,1,2009,Male,Belongs to other Country,0,0,0,0
Arunachal Pradesh,1,2009,Male,Belongs to other State,2,31,0,0
Arunachal Pradesh,1,2009,Male,Belongs to State,0,25,0,0
Arunachal Pradesh,1,2010,Female,Belongs to other Country,0,0,0,0
Arunachal Pradesh,1,2010,Female,Belongs to other State,0,1,0,0
Arunachal Pradesh,1,2010,Female,Belongs to State,0,3,0,0
Arunachal Pradesh,1,2010,Male,Belongs to other Country,1,0,0,0
Arunachal Pradesh,1,2010,Male,Belongs to other State,4,28,0,0
Arunachal Pradesh,1,2010,Male,Belongs to State,0,20,0,0
Arunachal Pradesh,1,2011,Female,Belongs to other Country,0,0,0,0
Arunachal Pradesh,1,2011,Female,Belongs to other State,0,1,0,0
Arunachal Pradesh,1,2011,Female,Belongs to State,0,4,0,0
Arunachal Pradesh,1,2011,Male,Belongs to other Country,1,0,0,0
Arunachal Pradesh,1,2011,Male,Belongs to other State,2,22,0,0
Arunachal Pradesh,1,2011,Male,Belongs to State,3,22,0,0
Arunachal Pradesh,1,2012,Female,Belongs to other Country,0,0,0,0
Arunachal Pradesh,1,2012,Female,Belongs to other State,0,0,0,0
Arunachal Pradesh,1,2012,Female,Belongs to State,0,4,0,0
Arunachal Pradesh,1,2012,Male,Belongs to other Country,0,0,0,0
Arunachal Pradesh,1,2012,Male,Belongs to other State,1,39,0,0
Arunachal Pradesh,1,2012,Male,Belongs to State,3,24,0,0
Arunachal Pradesh,1,2013,Female,Belongs to State,1,1,0,0
Arunachal Pradesh,1,2013,Female,Belongs to other State,0,0,0,0
Arunachal Pradesh,1,2013,Female,Belongs to other Country,0,0,0,0
Arunachal Pradesh,1,2013,Male,Belongs to State,5,34,0,0
Arunachal Pradesh,1,2013,Male,Belongs to other State,5,45,0,0
Arunachal Pradesh,1,2013,Male,Belongs to other Country,0,1,0,0
Assam,1,2001,Female,Belongs to other Country,0,0,0,0
Assam,1,2001,Female,Belongs to other State,1,5,0,0
Assam,1,2001,Female,Belongs to State,46,122,0,0
Assam,1,2001,Male,Belongs to other Country,1,9,0,0
Assam,1,2001,Male,Belongs to other State,35,65,5,0
Assam,1,2001,Male,Belongs to State,2320,3864,11,1
Assam,1,2002,Female,Belongs to other Country,0,0,0,0
Assam,1,2002,Female,Belongs to other State,3,7,0,0
Assam,1,2002,Female,Belongs to State,51,106,0,0
Assam,1,2002,Male,Belongs to other Country,0,26,0,0
Assam,1,2002,Male,Belongs to other State,30,112,0,0
Assam,1,2002,Male,Belongs to State,2646,4068,18,0
Assam,1,2003,Female,Belongs to other Country,0,0,0,0
Assam,1,2003,Female,Belongs to other State,4,5,0,0
Assam,1,2003,Female,Belongs to State,68,132,2,0
Assam,1,2003,Male,Belongs to other Country,2,10,0,0
Assam,1,2003,Male,Belongs to other State,89,233,1,0
Assam,1,2003,Male,Belongs to State,2917,4143,28,3
Assam,1,2004,Female,Belongs to other Country,0,0,0,0
Assam,1,2004,Female,Belongs to other State,3,6,0,0
Assam,1,2004,Female,Belongs to State,74,128,40,0
Assam,1,2004,Male,Belongs to other Country,0,11,0,0
Assam,1,2004,Male,Belongs to other State,41,161,0,0
Assam,1,2004,Male,Belongs to State,3150,3992,215,7
Assam,1,2005,Female,Belongs to other Country,0,0,0,0
Assam,1,2005,Female,Belongs to other State,2,8,0,0
Assam,1,2005,Female,Belongs to State,76,125,3,0
Assam,1,2005,Male,Belongs to other Country,3,10,0,0
Assam,1,2005,Male,Belongs to other State,106,142,1,0
Assam,1,2005,Male,Belongs to State,3288,4715,30,4
Assam,1,2006,Female,Belongs to other Country,0,1,0,0
Assam,1,2006,Female,Belongs to other State,1,8,0,0
Assam,1,2006,Female,Belongs to State,83,150,0,0
Assam,1,2006,Male,Belongs to other Country,2,2,0,0
Assam,1,2006,Male,Belongs to other State,88,194,0,0
Assam,1,2006,Male,Belongs to State,3375,4605,27,2
Assam,1,2007,Female,Belongs to other Country,0,0,0,0
Assam,1,2007,Female,Belongs to other State,4,4,0,0
Assam,1,2007,Female,Belongs to State,96,142,5,0
Assam,1,2007,Male,Belongs to other Country,1,14,0,0
Assam,1,2007,Male,Belongs to other State,86,83,1,0
Assam,1,2007,Male,Belongs to State,3393,4847,29,0
Assam,1,2008,Female,Belongs to other Country,0,0,0,0
Assam,1,2008,Female,Belongs to other State,8,37,0,0
Assam,1,2008,Female,Belongs to State,90,178,0,0
Assam,1,2008,Male,Belongs to other Country,2,31,0,0
Assam,1,2008,Male,Belongs to other State,52,90,1,0
Assam,1,2008,Male,Belongs to State,3342,4902,9,0
Assam,1,2009,Female,Belongs to other Country,0,0,0,0
Assam,1,2009,Female,Belongs to other State,11,12,0,0
Assam,1,2009,Female,Belongs to State,81,193,2,0
Assam,1,2009,Male,Belongs to other Country,0,0,0,0
Assam,1,2009,Male,Belongs to other State,70,159,2,0
Assam,1,2009,Male,Belongs to State,3165,4460,5,0
Assam,1,2010,Female,Belongs to other Country,0,0,0,0
Assam,1,2010,Female,Belongs to other State,7,39,0,0
Assam,1,2010,Female,Belongs to State,91,136,0,0
Assam,1,2010,Male,Belongs to other Country,9,32,0,0
Assam,1,2010,Male,Belongs to other State,163,510,0,0
Assam,1,2010,Male,Belongs to State,2994,3938,3,0
Assam,1,2011,Female,Belongs to other Country,0,0,0,0
Assam,1,2011,Female,Belongs to other State,5,51,0,0
Assam,1,2011,Female,Belongs to State,86,156,0,0
Assam,1,2011,Male,Belongs to other Country,8,30,0,0
Assam,1,2011,Male,Belongs to other State,163,679,0,0
Assam,1,2011,Male,Belongs to State,2875,4150,0,0
Assam,1,2012,Female,Belongs to other Country,0,0,0,0
Assam,1,2012,Female,Belongs to other State,6,57,0,0
Assam,1,2012,Female,Belongs to State,102,126,0,0
Assam,1,2012,Male,Belongs to other Country,5,30,0,0
Assam,1,2012,Male,Belongs to other State,192,681,0,0
Assam,1,2012,Male,Belongs to State,2865,4204,3,0
Assam,1,2013,Female,Belongs to State,96,152,0,0
Assam,1,2013,Female,Belongs to other State,5,53,0,0
Assam,1,2013,Female,Belongs to other Country,0,0,0,0
Assam,1,2013,Male,Belongs to State,2831,4213,5,2
Assam,1,2013,Male,Belongs to other State,156,721,0,0
Assam,1,2013,Male,Belongs to other Country,5,24,0,0
Bihar,1,2001,Female,Belongs to other Country,2,1,0,0
Bihar,1,2001,Female,Belongs to other State,0,0,0,0
Bihar,1,2001,Female,Belongs to State,76,792,0,0
Bihar,1,2001,Male,Belongs to other Country,6,12,0,0
Bihar,1,2001,Male,Belongs to other State,15,37,0,0
Bihar,1,2001,Male,Belongs to State,4966,29951,12,37
Bihar,1,2002,Female,Belongs to other Country,0,3,0,0
Bihar,1,2002,Female,Belongs to other State,3,20,0,0
Bihar,1,2002,Female,Belongs to State,102,919,0,0
Bihar,1,2002,Male,Belongs to other Country,6,9,0,0
Bihar,1,2002,Male,Belongs to other State,304,311,0,0
Bihar,1,2002,Male,Belongs to State,4649,30839,33,102
Bihar,1,2003,Female,Belongs to other Country,0,3,0,0
Bihar,1,2003,Female,Belongs to other State,0,11,0,0
Bihar,1,2003,Female,Belongs to State,104,931,0,0
Bihar,1,2003,Male,Belongs to other Country,2,7,0,0
Bihar,1,2003,Male,Belongs to other State,482,394,0,0
Bihar,1,2003,Male,Belongs to State,4490,30788,22,89
Bihar,1,2004,Female,Belongs to other Country,2,2,0,0
Bihar,1,2004,Female,Belongs to other State,1,5,0,0
Bihar,1,2004,Female,Belongs to State,127,736,0,0
Bihar,1,2004,Male,Belongs to other Country,9,12,0,0
Bihar,1,2004,Male,Belongs to other State,412,277,1,1
Bihar,1,2004,Male,Belongs to State,4969,26343,64,112
Bihar,1,2005,Female,Belongs to other Country,2,8,0,0
Bihar,1,2005,Female,Belongs to other State,22,28,0,0
Bihar,1,2005,Female,Belongs to State,100,1162,0,0
Bihar,1,2005,Male,Belongs to other Country,2,43,0,0
Bihar,1,2005,Male,Belongs to other State,388,785,0,0
Bihar,1,2005,Male,Belongs to State,5095,37993,0,190
Bihar,1,2006,Female,Belongs to other Country,5,6,0,0
Bihar,1,2006,Female,Belongs to other State,0,9,0,0
Bihar,1,2006,Female,Belongs to State,144,1254,0,0
Bihar,1,2006,Male,Belongs to other Country,3,103,0,0
Bihar,1,2006,Male,Belongs to other State,142,277,0,0
Bihar,1,2006,Male,Belongs to State,6471,35726,0,141
Bihar,1,2007,Female,Belongs to other Country,2,8,0,0
Bihar,1,2007,Female,Belongs to other State,0,10,0,0
Bihar,1,2007,Female,Belongs to State,134,1138,0,0
Bihar,1,2007,Male,Belongs to other Country,3,58,0,0
Bihar,1,2007,Male,Belongs to other State,139,232,0,0
Bihar,1,2007,Male,Belongs to State,5988,31870,24,32
Bihar,1,2008,Female,Belongs to other Country,0,10,0,0
Bihar,1,2008,Female,Belongs to other State,0,12,0,0
Bihar,1,2008,Female,Belongs to State,131,1076,0,0
Bihar,1,2008,Male,Belongs to other Country,7,42,0,0
Bihar,1,2008,Male,Belongs to other State,143,291,0,0
Bihar,1,2008,Male,Belongs to State,5718,30216,24,39
Bihar,1,2009,Female,Belongs to other Country,4,6,0,0
Bihar,1,2009,Female,Belongs to other State,0,10,0,0
