state_name,is_state,year,gender,education,convicts,under_trial,detenues,others
A & N Islands,0,2001,Female,Below Class X,0,0,0,0
A & N Islands,0,2001,Female,Class X and above but below graduate,2,1,0,0
A & N Islands,0,2001,Female,Graduate,0,0,0,0
A & N Islands,0,2001,Female,Holding technical degree/diploma etc,0,0,0,0
A & N Islands,0,2001,Female,Illiterate,0,0,0,0
A & N Islands,0,2001,Female,Post-Graduate,1,0,0,0
A & N Islands,0,2001,Male,Below Class X,14,8,0,0
A & N Islands,0,2001,Male,Class X and above but below graduate,153,112,0,0
A & N Islands,0,2001,Male,Graduate,43,39,0,0
A & N Islands,0,2001,Male,Holding technical degree/diploma etc,0,0,0,0
A & N Islands,0,2001,Male,Illiterate,0,0,0,0
A & N Islands,0,2001,Male,Post-Graduate,4,6,0,0
A & N Islands,0,2002,Female,Below Class X,1,4,0,0
A & N Islands,0,2002,Female,Class X and above but below graduate,2,0,0,0
A & N Islands,0,2002,Female,Graduate,0,0,0,0
A & N Islands,0,2002,Female,Holding technical degree/diploma etc,0,0,0,0
A & N Islands,0,2002,Female,Illiterate,0,0,0,0
A & N Islands,0,2002,Female,Post-Graduate,1,0,0,0
A & N Islands,0,2002,Male,Below Class X,18,30,0,0
A & N Islands,0,2002,Male,Class X and above but below graduate,73,125,0,0
A & N Islands,0,2002,Male,Graduate,38,32,0,0
A & N Islands,0,2002,Male,Holding technical degree/diploma etc,0,0,0,0
A & N Islands,0,2002,Male,Illiterate,0,0,0,0
A & N Islands,0,2002,Male,Post-Graduate,4,3,0,0
A & N Islands,0,2003,Female,Below Class X,1,1,0,0
A & N Islands,0,2003,Female,Class X and above but below graduate,0,0,0,0
A & N Islands,0,2003,Female,Graduate,1,0,0,0
A & N Islands,0,2003,Female,Holding technical degree/diploma etc,0,0,0,0
A & N Islands,0,2003,Female,Illiterate,0,0,0,0
A & N Islands,0,2003,Female,Post-Graduate,0,0,0,0
A & N Islands,0,2003,Male,Below Class X,75,178,0,0
A & N Islands,0,2003,Male,Class X and above but below graduate,10,2,0,0
A & N Islands,0,2003,Male,Graduate,2,0,0,0
A & N Islands,0,2003,Male,Holding technical degree/diploma etc,0,0,0,0
A & N Islands,0,2003,Male,Illiterate,3,23,0,0
A & N Islands,0,2003,Male,Post-Graduate,0,0,0,0
A & N Islands,0,2004,Female,Below Class X,1,1,0,0
A & N Islands,0,2004,Female,Class X and above but below graduate,0,0,0,0
A & N Islands,0,2004,Female,Graduate,1,0,0,0
A & N Islands,0,2004,Female,Holding technical degree/diploma etc,0,0,0,0
A & N Islands,0,2004,Female,Illiterate,0,0,0,0
A & N Islands,0,2004,Female,Post-Graduate,0,0,0,0
A & N Islands,0,2004,Male,Below Class X,48,142,0,0
A & N Islands,0,2004,Male,Class X and above but below graduate,5,16,0,0
A & N Islands,0,2004,Male,Graduate,1,1,0,0
A & N Islands,0,2004,Male,Holding technical degree/diploma etc,0,0,0,0
A & N Islands,0,2004,Male,Illiterate,0,5,0,0
A & N Islands,0,2004,Male,Post-Graduate,0,0,0,0
A & N Islands,0,2005,Female,Below Class X,0,2,0,0
A & N Islands,0,2005,Female,Class X and above but below graduate,0,0,0,0
A & N Islands,0,2005,Female,Graduate,1,0,0,0
A & N Islands,0,2005,Female,Holding technical degree/diploma etc,0,0,0,0
A & N Islands,0,2005,Female,Illiterate,0,1,0,0
A & N Islands,0,2005,Female,Post-Graduate,0,0,0,0
A & N Islands,0,2005,Male,Below Class X,46,137,0,0
A & N Islands,0,2005,Male,Class X and above but below graduate,14,10,0,0
A & N Islands,0,2005,Male,Graduate,1,1,0,0
A & N Islands,0,2005,Male,Holding technical degree/diploma etc,0,0,0,0
A & N Islands,0,2005,Male,Illiterate,4,7,0,0
A & N Islands,0,2005,Male,Post-Graduate,0,0,0,0
A & N Islands,0,2006,Female,Below Class X,0,0,0,0
A & N Islands,0,2006,Female,Class X and above but below graduate,0,0,0,0
A & N Islands,0,2006,Female,Graduate,1,0,0,0
A & N Islands,0,2006,Female,Holding technical degree/diploma etc,0,0,0,0
A & N Islands,0,2006,Female,Illiterate,0,1,0,0
A & N Islands,0,2006,Female,Post-Graduate,0,0,0,0
A & N Islands,0,2006,Male,Below Class X,61,246,0,0
A & N Islands,0,2006,Male,Class X and above but below graduate,14,10,0,0
A & N Islands,0,2006,Male,Graduate,1,1,0,0
A & N Islands,0,2006,Male,Holding technical degree/diploma etc,0,0,0,0
A & N Islands,0,2006,Male,Illiterate,4,7,0,0
A & N Islands,0,2006,Male,Post-Graduate,0,0,0,0
A & N Islands,0,2007,Female,Below Class X,0,1,0,0
A & N Islands,0,2007,Female,Class X and above but below graduate,1,0,0,0
A & N Islands,0,2007,Female,Graduate,0,0,0,0
A & N Islands,0,2007,Female,Holding technical degree/diploma etc,0,0,0,0
A & N Islands,0,2007,Female,Illiterate,0,0,0,0
A & N Islands,0,2007,Female,Post-Graduate,0,0,0,0
A & N Islands,0,2007,Male,Below Class X,82,314,0,0
A & N Islands,0,2007,Male,Class X and above but below graduate,3,7,0,0
A & N Islands,0,2007,Male,Graduate,1,1,0,0
A & N Islands,0,2007,Male,Holding technical degree/diploma etc,0,0,0,0
A & N Islands,0,2007,Male,Illiterate,1,2,0,0
A & N Islands,0,2007,Male,Post-Graduate,0,0,0,0
A & N Islands,0,2008,Female,Below Class X,0,0,0,0
A & N Islands,0,2008,Female,Class X and above but below graduate,0,0,0,0
A & N Islands,0,2008,Female,Graduate,0,0,0,0
A & N Islands,0,2008,Female,Holding technical degree/diploma etc,0,0,0,0
A & N Islands,0,2008,Female,Illiterate,0,0,0,0
A & N Islands,0,2008,Female,Post-Graduate,0,0,0,0
A & N Islands,0,2008,Male,Below Class X,64,137,0,0
A & N Islands,0,2008,Male,Class X and above but below graduate,3,12,0,0
A & N Islands,0,2008,Male,Graduate,1,2,0,0
A & N Islands,0,2008,Male,Holding technical degree/diploma etc,0,0,0,0
A & N Islands,0,2008,Male,Illiterate,0,2,0,0
A & N Islands,0,2008,Male,Post-Graduate,0,0,0,0
A & N Islands,0,2009,Female,Below Class X,0,0,0,0
A & N Islands,0,2009,Female,Class X and above but below graduate,0,0,0,0
A & N Islands,0,2009,Female,Graduate,0,0,0,0
A & N Islands,0,2009,Female,Holding technical degree/diploma etc,0,0,0,0
A & N Islands,0,2009,Female,Illiterate,0,0,0,0
A & N Islands,0,2009,Female,Post-Graduate,0,0,0,0
A & N Islands,0,2009,Male,Below Class X,43,153,0,0
A & N Islands,0,2009,Male,Class X and above but below graduate,4,22,0,0
A & N Islands,0,2009,Male,Graduate,1,2,0,0
A & N Islands,0,2009,Male,Holding technical degree/diploma etc,0,0,0,0
A & N Islands,0,2009,Male,Illiterate,0,3,0,0
A & N Islands,0,2009,Male,Post-Graduate,0,0,0,0
A & N Islands,0,2010,Female,Below Class X,0,2,0,0
A & N Islands,0,2010,Female,Class X and above but below graduate,0,0,0,0
A & N Islands,0,2010,Female,Graduate,0,0,0,0
A & N Islands,0,2010,Female,Holding technical degree/diploma etc,0,0,0,0
A & N Islands,0,2010,Female,Illiterate,0,0,0,0
A & N Islands,0,2010,Female,Post-Graduate,0,0,0,0
A & N Islands,0,2010,Male,Below Class X,62,504,0,0
A & N Islands,0,2010,Male,Class X and above but below graduate,49,29,0,0
A & N Islands,0,2010,Male,Graduate,5,2,0,0
A & N Islands,0,2010,Male,Holding technical degree/diploma etc,9,12,0,0
A & N Islands,0,2010,Male,Illiterate,4,7,0,0
A & N Islands,0,2010,Male,Post-Graduate,0,3,0,0
A & N Islands,0,2011,Female,Below Class X,0,2,0,0
A & N Islands,0,2011,Female,Class X and above but below graduate,0,5,0,0
A & N Islands,0,2011,Female,Graduate,0,0,0,0
A & N Islands,0,2011,Female,Holding technical degree/diploma etc,0,0,0,0
A & N Islands,0,2011,Female,Illiterate,0,0,0,0
A & N Islands,0,2011,Female,Post-Graduate,0,0,0,0
A & N Islands,0,2011,Male,Below Class X,213,490,0,0
A & N Islands,0,2011,Male,Class X and above but below graduate,120,60,0,0
A & N Islands,0,2011,Male,Graduate,35,55,0,0
