STATE/UT,YEAR,CRIME HEAD,Male 16-18 years,Female 16-18 years,Total 16-18 years,Male 18-30 years,Female 18-30 years,Total 18-30 years,Male 30-50 years,Female 30-50 years,Total 30-50 years,Male Above 50 years,Female Above 50 years,Total Above 50 years,Total Male,Total Female,Grand Total
Andhra Pradesh,2001,Murder,1,0,1,688,21,709,1221,29,1250,249,10,259,2159,60,2219
Andhra Pradesh,2001,Attempt To Commit Murder,0,0,0,38,0,38,71,0,71,12,0,12,121,0,121
Andhra Pradesh,2001,C.H. Not Amounting To Murder,0,0,0,78,1,79,121,3,124,23,0,23,222,4,226
Andhra Pradesh,2001,Rape,0,0,0,97,0,97,64,0,64,5,0,5,166,0,166
Andhra Pradesh,2001,Kidnapping And Abduction,0,0,0,9,0,9,5,2,7,0,1,1,14,3,17
Andhra Pradesh,2001,Dacoity,1,0,1,85,0,85,90,0,90,14,0,14,190,0,190
Andhra Pradesh,2001,Prep. And Assembly For Dacoity,0,0,0,11,0,11,5,0,5,0,0,0,16,0,16
Andhra Pradesh,2001,Robbery,0,0,0,40,0,40,22,0,22,3,0,3,65,0,65
Andhra Pradesh,2001,Burglary,1,0,1,25,0,25,9,0,9,3,0,3,38,0,38
Andhra Pradesh,2001,Thefts,1,0,1,185,0,185,80,0,80,18,0,18,284,0,284
Andhra Pradesh,2001,Extortion,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
Andhra Pradesh,2001,Riots,0,0,0,0,0,0,6,0,6,4,0,4,10,0,10
Andhra Pradesh,2001,Arson,0,0,0,2,0,2,2,0,2,0,0,0,4,0,4
Andhra Pradesh,2001,Criminal Breach Of Trust,0,0,0,1,0,1,5,0,5,1,0,1,7,0,7
Andhra Pradesh,2001,Cheating,0,0,0,16,0,16,6,0,6,1,1,2,23,1,24
Andhra Pradesh,2001,Counter Feiting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2001,Dowry Deaths,0,0,0,23,0,23,13,1,14,0,9,9,36,10,46
Andhra Pradesh,2001,Molestation,0,0,0,7,0,7,16,0,16,0,0,0,23,0,23
Andhra Pradesh,2001,Eve-Teasing,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2
Andhra Pradesh,2001,Cruelty By Husband Or Relative Of Husband,0,0,0,13,0,13,9,0,9,3,0,3,25,0,25
Andhra Pradesh,2001,Other Ipc Crimes,1,0,1,184,4,188,154,4,158,8,1,9,347,9,356
Andhra Pradesh,2002,Murder,0,0,0,897,27,924,1269,38,1307,229,18,247,2395,83,2478
Andhra Pradesh,2002,Attempt To Commit Murder,0,0,0,40,0,40,41,1,42,8,0,8,89,1,90
Andhra Pradesh,2002,C.H. Not Amounting To Murder,0,0,0,103,1,104,135,1,136,33,4,37,271,6,277
Andhra Pradesh,2002,Rape,0,0,0,99,0,99,64,0,64,23,0,23,186,0,186
Andhra Pradesh,2002,Kidnapping And Abduction,0,0,0,24,0,24,7,2,9,2,1,3,33,3,36
Andhra Pradesh,2002,Dacoity,0,0,0,88,0,88,85,1,86,10,0,10,183,1,184
Andhra Pradesh,2002,Prep. And Assembly For Dacoity,0,0,0,7,0,7,7,1,8,2,0,2,16,1,17
Andhra Pradesh,2002,Robbery,0,0,0,73,0,73,53,0,53,3,0,3,129,0,129
Andhra Pradesh,2002,Burglary,1,0,1,46,0,46,32,0,32,13,0,13,92,0,92
Andhra Pradesh,2002,Thefts,2,0,2,231,2,233,117,1,118,17,0,17,367,3,370
Andhra Pradesh,2002,Extortion,0,0,0,24,0,24,9,0,9,0,0,0,33,0,33
Andhra Pradesh,2002,Riots,0,0,0,4,1,5,0,2,2,0,0,0,4,3,7
Andhra Pradesh,2002,Arson,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
Andhra Pradesh,2002,Criminal Breach Of Trust,0,0,0,0,0,0,3,0,3,1,0,1,4,0,4
Andhra Pradesh,2002,Cheating,0,0,0,11,1,12,17,1,18,12,0,12,40,2,42
Andhra Pradesh,2002,Counter Feiting,0,0,0,0,0,0,4,0,4,1,0,1,5,0,5
Andhra Pradesh,2002,Dowry Deaths,0,0,0,19,1,20,19,2,21,6,3,9,44,6,50
Andhra Pradesh,2002,Molestation,0,0,0,19,0,19,41,0,41,2,0,2,62,0,62
Andhra Pradesh,2002,Eve-Teasing,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
Andhra Pradesh,2002,Cruelty By Husband Or Relative Of Husband,0,0,0,43,2,45,40,2,42,6,5,11,89,9,98
Andhra Pradesh,2002,Other Ipc Crimes,0,0,0,130,0,130,126,3,129,14,1,15,270,4,274
Andhra Pradesh,2003,Murder,0,0,0,902,28,930,1272,38,1310,285,19,304,2459,85,2544
Andhra Pradesh,2003,Attempt To Commit Murder,0,0,0,42,1,43,44,2,46,9,0,9,95,3,98
Andhra Pradesh,2003,C.H. Not Amounting To Murder,0,0,0,105,0,105,144,1,145,34,5,39,283,6,289
Andhra Pradesh,2003,Rape,0,0,0,82,0,82,65,0,65,44,0,44,191,0,191
Andhra Pradesh,2003,Kidnapping And Abduction,0,0,0,26,1,27,8,0,8,3,0,3,37,1,38
Andhra Pradesh,2003,Dacoity,0,0,0,75,0,75,102,0,102,13,0,13,190,0,190
Andhra Pradesh,2003,Prep. And Assembly For Dacoity,0,0,0,9,0,9,18,0,18,2,0,2,29,0,29
Andhra Pradesh,2003,Robbery,0,0,0,78,0,78,57,0,57,26,0,26,161,0,161
Andhra Pradesh,2003,Burglary,0,0,0,48,0,48,34,0,34,25,0,25,107,0,107
Andhra Pradesh,2003,Thefts,0,0,0,222,12,234,120,3,123,16,0,16,358,15,373
Andhra Pradesh,2003,Extortion,0,0,0,23,0,23,18,0,18,2,0,2,43,0,43
Andhra Pradesh,2003,Riots,0,0,0,14,2,16,2,2,4,0,0,0,16,4,20
Andhra Pradesh,2003,Arson,0,0,0,0,0,0,3,0,3,1,0,1,4,0,4
Andhra Pradesh,2003,Criminal Breach Of Trust,0,0,0,0,0,0,2,0,2,2,1,3,4,1,5
Andhra Pradesh,2003,Cheating,0,0,0,12,1,13,28,2,30,9,2,11,49,5,54
Andhra Pradesh,2003,Counter Feiting,0,0,0,0,0,0,5,0,5,2,0,2,7,0,7
Andhra Pradesh,2003,Dowry Deaths,0,0,0,21,2,23,21,1,22,5,4,9,47,7,54
Andhra Pradesh,2003,Molestation,0,0,0,20,0,20,18,2,20,5,0,5,43,2,45
Andhra Pradesh,2003,Eve-Teasing,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2
Andhra Pradesh,2003,Cruelty By Husband Or Relative Of Husband,0,0,0,24,3,27,46,2,48,7,8,15,77,13,90
Andhra Pradesh,2003,Other Ipc Crimes,0,0,0,93,3,96,129,1,130,36,2,38,258,6,264
Andhra Pradesh,2004,Murder,0,0,0,953,25,978,1453,64,1517,181,30,211,2587,119,2706
Andhra Pradesh,2004,Attempt To Commit Murder,0,0,0,43,0,43,73,0,73,26,0,26,142,0,142
Andhra Pradesh,2004,C.H. Not Amounting To Murder,0,0,0,33,0,33,74,3,77,24,0,24,131,3,134
Andhra Pradesh,2004,Rape,0,0,0,89,1,90,89,0,89,21,0,21,199,1,200
Andhra Pradesh,2004,Kidnapping And Abduction,0,0,0,21,2,23,21,4,25,1,0,1,43,6,49
Andhra Pradesh,2004,Dacoity,0,0,0,75,0,75,71,0,71,16,0,16,162,0,162
Andhra Pradesh,2004,Prep. And Assembly For Dacoity,0,0,0,9,0,9,3,0,3,1,0,1,13,0,13
Andhra Pradesh,2004,Robbery,0,0,0,33,0,33,38,0,38,12,0,12,83,0,83
Andhra Pradesh,2004,Burglary,0,0,0,32,0,32,14,0,14,4,0,4,50,0,50
Andhra Pradesh,2004,Thefts,0,0,0,143,5,148,119,2,121,25,0,25,287,7,294
Andhra Pradesh,2004,Extortion,0,0,0,2,0,2,1,0,1,0,0,0,3,0,3
Andhra Pradesh,2004,Riots,0,0,0,7,0,7,3,0,3,0,1,1,10,1,11
Andhra Pradesh,2004,Arson,0,0,0,3,0,3,1,0,1,1,0,1,5,0,5
Andhra Pradesh,2004,Criminal Breach Of Trust,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2
Andhra Pradesh,2004,Cheating,0,0,0,8,0,8,20,4,24,4,0,4,32,4,36
Andhra Pradesh,2004,Counter Feiting,0,0,0,4,0,4,3,1,4,0,0,0,7,1,8
Andhra Pradesh,2004,Dowry Deaths,0,0,0,23,4,27,42,1,43,6,8,14,71,13,84
Andhra Pradesh,2004,Molestation,0,0,0,33,0,33,46,0,46,5,0,5,84,0,84
Andhra Pradesh,2004,Eve-Teasing,0,0,0,1,0,1,1,0,1,0,0,0,2,0,2
Andhra Pradesh,2004,Cruelty By Husband Or Relative Of Husband,0,0,0,36,0,36,37,0,37,7,0,7,80,0,80
Andhra Pradesh,2004,Other Ipc Crimes,0,0,0,55,1,56,60,7,67,14,1,15,129,9,138
Andhra Pradesh,2005,Murder,0,0,0,817,8,825,1796,66,1862,252,18,270,2865,92,2957
Andhra Pradesh,2005,Attempt To Commit Murder,0,0,0,61,0,61,114,3,117,22,0,22,197,3,200
Andhra Pradesh,2005,C.H. Not Amounting To Murder,0,0,0,30,0,30,58,0,58,9,0,9,97,0,97
Andhra Pradesh,2005,Rape,0,0,0,71,1,72,82,4,86,7,0,7,160,5,165
Andhra Pradesh,2005,Kidnapping And Abduction,0,0,0,16,0,16,18,1,19,1,0,1,35,1,36
Andhra Pradesh,2005,Dacoity,0,0,0,53,0,53,63,0,63,12,0,12,128,0,128
Andhra Pradesh,2005,Prep. And Assembly For Dacoity,0,0,0,4,0,4,4,0,4,0,0,0,8,0,8
Andhra Pradesh,2005,Robbery,0,0,0,59,0,59,41,0,41,4,0,4,104,0,104
Andhra Pradesh,2005,Burglary,2,0,2,38,0,38,16,0,16,2,0,2,58,0,58
Andhra Pradesh,2005,Thefts,0,0,0,223,10,233,126,5,131,10,0,10,359,15,374
Andhra Pradesh,2005,Extortion,0,0,0,3,0,3,2,0,2,0,0,0,5,0,5
Andhra Pradesh,2005,Riots,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
Andhra Pradesh,2005,Arson,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2
Andhra Pradesh,2005,Criminal Breach Of Trust,0,0,0,1,0,1,1,0,1,0,0,0,2,0,2
Andhra Pradesh,2005,Cheating,0,0,0,6,0,6,16,3,19,3,0,3,25,3,28
Andhra Pradesh,2005,Counter Feiting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2005,Dowry Deaths,0,0,0,19,2,21,35,3,38,9,10,19,63,15,78
Andhra Pradesh,2005,Molestation,0,0,0,26,0,26,39,24,63,6,2,8,71,26,97
Andhra Pradesh,2005,Eve-Teasing,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
Andhra Pradesh,2005,Cruelty By Husband Or Relative Of Husband,0,0,0,27,0,27,50,0,50,7,1,8,84,1,85
Andhra Pradesh,2005,Other Ipc Crimes,0,0,0,85,1,86,77,5,82,11,1,12,173,7,180
Andhra Pradesh,2006,Murder,0,0,0,809,39,848,1875,36,1911,333,12,345,3017,87,3104
Andhra Pradesh,2006,Attempt To Commit Murder,0,0,0,31,8,39,52,0,52,13,0,13,96,8,104
Andhra Pradesh,2006,C.H. Not Amounting To Murder,0,0,0,34,0,34,92,4,96,11,0,11,137,4,141
Andhra Pradesh,2006,Rape,0,0,0,55,0,55,80,0,80,25,1,26,160,1,161
Andhra Pradesh,2006,Kidnapping And Abduction,0,0,0,17,3,20,24,2,26,0,0,0,41,5,46
Andhra Pradesh,2006,Dacoity,0,0,0,47,1,48,56,1,57,7,1,8,110,3,113
Andhra Pradesh,2006,Prep. And Assembly For Dacoity,0,0,0,4,0,4,4,2,6,0,0,0,8,2,10
Andhra Pradesh,2006,Robbery,0,0,0,29,0,29,27,0,27,5,0,5,61,0,61
Andhra Pradesh,2006,Burglary,0,0,0,38,0,38,24,0,24,0,0,0,62,0,62
Andhra Pradesh,2006,Thefts,0,0,0,207,2,209,143,4,147,12,1,13,362,7,369
Andhra Pradesh,2006,Extortion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2006,Riots,0,0,0,1,0,1,5,0,5,1,0,1,7,0,7
Andhra Pradesh,2006,Arson,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
Andhra Pradesh,2006,Criminal Breach Of Trust,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
Andhra Pradesh,2006,Cheating,0,0,0,5,0,5,11,2,13,7,0,7,23,2,25
Andhra Pradesh,2006,Counter Feiting,0,0,0,3,0,3,3,0,3,0,0,0,6,0,6
Andhra Pradesh,2006,Dowry Deaths,0,0,0,28,3,31,55,13,68,13,8,21,96,24,120
Andhra Pradesh,2006,Molestation,0,0,0,36,0,36,41,0,41,2,0,2,79,0,79
Andhra Pradesh,2006,Eve-Teasing,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
Andhra Pradesh,2006,Cruelty By Husband Or Relative Of Husband,0,0,0,43,0,43,83,29,112,3,7,10,129,36,165
Andhra Pradesh,2006,Other Ipc Crimes,0,0,0,88,4,92,145,1,146,23,0,23,256,5,261
Andhra Pradesh,2007,Murder,0,0,0,1046,41,1087,1715,81,1796,356,30,386,3117,152,3269
Andhra Pradesh,2007,Attempt To Commit Murder,0,0,0,48,2,50,69,5,74,13,2,15,130,9,139
Andhra Pradesh,2007,C.H. Not Amounting To Murder,0,0,0,51,1,52,92,2,94,19,1,20,162,4,166
Andhra Pradesh,2007,Rape,0,0,0,96,1,97,93,0,93,27,0,27,216,1,217
Andhra Pradesh,2007,Kidnapping And Abduction,0,0,0,19,0,19,26,0,26,0,7,7,45,7,52
Andhra Pradesh,2007,Dacoity,0,0,0,67,0,67,59,2,61,10,1,11,136,3,139
Andhra Pradesh,2007,Prep. And Assembly For Dacoity,0,0,0,1,1,2,5,1,6,0,2,2,6,4,10
Andhra Pradesh,2007,Robbery,0,0,0,43,0,43,35,4,39,7,0,7,85,4,89
Andhra Pradesh,2007,Burglary,0,0,0,27,0,27,16,0,16,8,0,8,51,0,51
Andhra Pradesh,2007,Thefts,0,0,0,206,2,208,178,5,183,26,1,27,410,8,418
Andhra Pradesh,2007,Extortion,0,0,0,7,0,7,5,0,5,0,0,0,12,0,12
Andhra Pradesh,2007,Riots,0,0,0,0,0,0,3,3,6,0,0,0,3,3,6
Andhra Pradesh,2007,Arson,0,0,0,1,0,1,4,0,4,1,0,1,6,0,6
Andhra Pradesh,2007,Criminal Breach Of Trust,0,0,0,1,0,1,0,0,0,4,0,4,5,0,5
Andhra Pradesh,2007,Cheating,0,0,0,10,0,10,11,4,15,5,0,5,26,4,30
Andhra Pradesh,2007,Counter Feiting,0,0,0,6,1,7,5,0,5,1,0,1,12,1,13
Andhra Pradesh,2007,Dowry Deaths,0,0,0,34,8,42,51,5,56,8,0,8,93,13,106
Andhra Pradesh,2007,Molestation,0,0,0,28,0,28,28,0,28,11,0,11,67,0,67
Andhra Pradesh,2007,Eve-Teasing,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
Andhra Pradesh,2007,Cruelty By Husband Or Relative Of Husband,0,0,0,37,0,37,83,2,85,8,0,8,128,2,130
Andhra Pradesh,2007,Other Ipc Crimes,0,0,0,83,4,87,97,0,97,30,0,30,210,4,214
Andhra Pradesh,2008,Murder,0,0,0,912,25,937,1854,89,1943,414,24,438,3180,138,3318
Andhra Pradesh,2008,Attempt To Commit Murder,0,0,0,50,2,52,57,1,58,10,0,10,117,3,120
Andhra Pradesh,2008,C.H. Not Amounting To Murder,0,0,0,50,1,51,45,6,51,6,3,9,101,10,111
Andhra Pradesh,2008,Rape,0,0,0,82,0,82,70,0,70,18,1,19,170,1,171
Andhra Pradesh,2008,Kidnapping And Abduction,0,0,0,15,1,16,11,4,15,0,1,1,26,6,32
Andhra Pradesh,2008,Dacoity,0,0,0,74,0,74,37,0,37,9,0,9,120,0,120
Andhra Pradesh,2008,Prep. And Assembly For Dacoity,0,0,0,2,0,2,6,0,6,0,0,0,8,0,8
Andhra Pradesh,2008,Robbery,0,0,0,30,1,31,49,1,50,13,0,13,92,2,94
