STATE/UT,YEAR,CRIME HEAD,Male 16-18 years,Female 16-18 years,Total 16-18 years,Male 18-30 years,Female 18-30 years,Total 18-30 years,Male 30-50 years,Female 30-50 years,Total 30-50 years,Male Above 50 years,Female Above 50 years,Total Above 50 years,Total Male,Total Female,Grand Total
Andhra Pradesh,2001,Murder,6,2,8,522,33,555,491,42,533,65,6,71,1084,83,1167
Andhra Pradesh,2001,Attempt To Commit Murder,5,0,5,221,3,224,214,10,224,14,2,16,454,15,469
Andhra Pradesh,2001,C.H. Not Amounting To Murder,2,0,2,103,5,108,102,5,107,9,0,9,216,10,226
Andhra Pradesh,2001,Rape,7,0,7,172,3,175,141,2,143,7,0,7,327,5,332
Andhra Pradesh,2001,Kidnapping And Abduction,6,0,6,75,4,79,53,0,53,5,1,6,139,5,144
Andhra Pradesh,2001,Dacoity,6,0,6,409,4,413,286,5,291,17,0,17,718,9,727
Andhra Pradesh,2001,Prep. And Assembly For Dacoity,0,0,0,18,0,18,26,0,26,0,0,0,44,0,44
Andhra Pradesh,2001,Robbery,3,0,3,152,3,155,93,0,93,9,0,9,257,3,260
Andhra Pradesh,2001,Burglary,22,0,22,195,0,195,91,3,94,5,0,5,313,3,316
Andhra Pradesh,2001,Thefts,28,0,28,704,27,731,468,30,498,43,1,44,1243,58,1301
Andhra Pradesh,2001,Extortion,7,0,7,4,0,4,0,0,0,0,0,0,11,0,11
Andhra Pradesh,2001,Riots,0,0,0,57,2,59,35,0,35,7,1,8,99,3,102
Andhra Pradesh,2001,Arson,0,0,0,7,0,7,5,0,5,0,0,0,12,0,12
Andhra Pradesh,2001,Criminal Breach Of Trust,1,0,1,9,0,9,16,0,16,0,0,0,26,0,26
Andhra Pradesh,2001,Cheating,2,0,2,66,8,74,86,1,87,30,3,33,184,12,196
Andhra Pradesh,2001,Counter Feiting,0,0,0,5,0,5,7,1,8,1,1,2,13,2,15
Andhra Pradesh,2001,Dowry Deaths,0,0,0,18,0,18,22,5,27,5,0,5,45,5,50
Andhra Pradesh,2001,Molestation,3,0,3,31,0,31,12,0,12,3,0,3,49,0,49
Andhra Pradesh,2001,Eve-Teasing,0,0,0,4,0,4,2,0,2,0,0,0,6,0,6
Andhra Pradesh,2001,Cruelty By Husband Or Relative Of Husband,1,0,1,45,3,48,48,5,53,6,4,10,100,12,112
Andhra Pradesh,2001,Other Ipc Crimes,10,0,10,326,22,348,320,40,360,40,7,47,696,69,765
Andhra Pradesh,2002,Murder,2,0,2,568,37,605,442,27,469,62,8,70,1074,72,1146
Andhra Pradesh,2002,Attempt To Commit Murder,0,0,0,221,6,227,185,14,199,30,3,33,436,23,459
Andhra Pradesh,2002,C.H. Not Amounting To Murder,0,0,0,75,5,80,83,22,105,13,4,17,171,31,202
Andhra Pradesh,2002,Rape,7,0,7,174,2,176,110,4,114,17,0,17,308,6,314
Andhra Pradesh,2002,Kidnapping And Abduction,3,0,3,99,8,107,78,4,82,6,1,7,186,13,199
