state_name,year,details,Male,Female,Total
Andhra Pradesh,2001,Natural Deaths,71,0,71
Andhra Pradesh,2001,Un-natural Deaths,10,0,10
Andhra Pradesh,2001,Un-natural Deaths - Suicides,6,0,6
Andhra Pradesh,2001,Un-natural Deaths - Execution,0,0,0
Andhra Pradesh,2001,Un-natural Deaths - Murder by inmates,1,0,1
Andhra Pradesh,2001,Un-natural Deaths - Death due to assault by outside elements during transit or,3,0,3
Andhra Pradesh,2001,Un-natural Deaths - Deaths due to firing,0,0,0
Andhra Pradesh,2001,Un-natural Deaths - Deaths due to negligence by Jail Personnel,0,0,0
Andhra Pradesh,2001,Un-natural Deaths - Others,0,0,0
Andhra Pradesh,2002,Natural Deaths,86,2,88
Andhra Pradesh,2002,Un-natural Deaths,13,0,13
Andhra Pradesh,2002,Un-natural Deaths - Suicides,5,0,5
Andhra Pradesh,2002,Un-natural Deaths - Execution,0,0,0
Andhra Pradesh,2002,Un-natural Deaths - Murder by inmates,0,0,0
Andhra Pradesh,2002,Un-natural Deaths - Death due to assault by outside elements during transit or,0,0,0
Andhra Pradesh,2002,Un-natural Deaths - Deaths due to firing,7,0,7
Andhra Pradesh,2002,Un-natural Deaths - Deaths due to negligence by Jail Personnel,0,0,0
Andhra Pradesh,2002,Un-natural Deaths - Others,1,0,1
Andhra Pradesh,2003,Natural Deaths,102,1,103
Andhra Pradesh,2003,Un-natural Deaths,6,0,6
Andhra Pradesh,2003,Un-natural Deaths - Suicides,5,0,5
Andhra Pradesh,2003,Un-natural Deaths - Execution,0,0,0
Andhra Pradesh,2003,Un-natural Deaths - Murder by inmates,0,0,0
Andhra Pradesh,2003,Un-natural Deaths - Death due to assault by outside elements during transit or,0,0,0
Andhra Pradesh,2003,Un-natural Deaths - Deaths due to firing,1,0,1
Andhra Pradesh,2003,Un-natural Deaths - Deaths due to negligence by Jail Personnel,0,0,0
Andhra Pradesh,2003,Un-natural Deaths - Others,0,0,0
Andhra Pradesh,2004,Natural Deaths,110,4,114
Andhra Pradesh,2004,Un-natural Deaths,6,0,6
Andhra Pradesh,2004,Un-natural Deaths - Suicides,4,0,4
Andhra Pradesh,2004,Un-natural Deaths - Execution,0,0,0
Andhra Pradesh,2004,Un-natural Deaths - Murder by inmates,0,0,0
Andhra Pradesh,2004,Un-natural Deaths - Death due to assault by outside elements during transit or,2,0,2
Andhra Pradesh,2004,Un-natural Deaths - Deaths due to firing,0,0,0
Andhra Pradesh,2004,Un-natural Deaths - Deaths due to negligence by Jail Personnel,0,0,0
Andhra Pradesh,2004,Un-natural Deaths - Others,0,0,0
Andhra Pradesh,2005,Natural Deaths,127,0,127
Andhra Pradesh,2005,Un-natural Deaths,2,0,2
Andhra Pradesh,2005,Un-natural Deaths - Suicides,2,0,2
Andhra Pradesh,2005,Un-natural Deaths - Execution,0,0,0
Andhra Pradesh,2005,Un-natural Deaths - Murder by inmates,0,0,0
Andhra Pradesh,2005,Un-natural Deaths - Death due to assault by outside elements during transit or,0,0,0
Andhra Pradesh,2005,Un-natural Deaths - Deaths due to firing,0,0,0
Andhra Pradesh,2005,Un-natural Deaths - Deaths due to negligence by Jail Personnel,0,0,0
Andhra Pradesh,2005,Un-natural Deaths - Others,0,0,0
Andhra Pradesh,2006,Natural Deaths,117,0,117
Andhra Pradesh,2006,Un-natural Deaths,3,0,3
Andhra Pradesh,2006,Un-natural Deaths - Suicides,2,0,2
Andhra Pradesh,2006,Un-natural Deaths - Execution,0,0,0
Andhra Pradesh,2006,Un-natural Deaths - Murder by inmates,0,0,0
Andhra Pradesh,2006,Un-natural Deaths - Death due to assault by outside elements during transit or,1,0,1
Andhra Pradesh,2006,Un-natural Deaths - Deaths due to firing,0,0,0
Andhra Pradesh,2006,Un-natural Deaths - Deaths due to negligence by Jail Personnel,0,0,0
Andhra Pradesh,2006,Un-natural Deaths - Others,0,0,0
Andhra Pradesh,2007,Natural Deaths,109,0,109
Andhra Pradesh,2007,Un-natural Deaths,1,0,1
Andhra Pradesh,2007,Un-natural Deaths - Suicides,1,0,1
Andhra Pradesh,2007,Un-natural Deaths - Execution,0,0,0
Andhra Pradesh,2007,Un-natural Deaths - Murder by inmates,0,0,0
Andhra Pradesh,2007,Un-natural Deaths - Death due to assault by outside elements during transit or,0,0,0
Andhra Pradesh,2007,Un-natural Deaths - Deaths due to firing,0,0,0
Andhra Pradesh,2007,Un-natural Deaths - Deaths due to negligence by Jail Personnel,0,0,0
Andhra Pradesh,2007,Un-natural Deaths - Others,0,0,0
Andhra Pradesh,2008,Natural Deaths,127,0,127
Andhra Pradesh,2008,Un-natural Deaths,5,0,5
Andhra Pradesh,2008,Un-natural Deaths - Suicides,4,0,4
Andhra Pradesh,2008,Un-natural Deaths - Execution,0,0,0
Andhra Pradesh,2008,Un-natural Deaths - Murder by inmates,1,0,1
Andhra Pradesh,2008,Un-natural Deaths - Death due to assault by outside elements during transit or,0,0,0
Andhra Pradesh,2008,Un-natural Deaths - Deaths due to firing,0,0,0
Andhra Pradesh,2008,Un-natural Deaths - Deaths due to negligence by Jail Personnel,0,0,0
Andhra Pradesh,2008,Un-natural Deaths - Others,0,0,0
Andhra Pradesh,2009,Natural Deaths,111,3,114
Andhra Pradesh,2009,Un-natural Deaths,2,0,2
Andhra Pradesh,2009,Un-natural Deaths - Suicides,2,0,2
Andhra Pradesh,2009,Un-natural Deaths - Execution,0,0,0
Andhra Pradesh,2009,Un-natural Deaths - Murder by inmates,0,0,0
Andhra Pradesh,2009,Un-natural Deaths - Death due to assault by outside elements during transit or,0,0,0
Andhra Pradesh,2009,Un-natural Deaths - Deaths due to firing,0,0,0
Andhra Pradesh,2009,Un-natural Deaths - Deaths due to negligence by Jail Personnel,0,0,0
Andhra Pradesh,2009,Un-natural Deaths - Others,0,0,0
Andhra Pradesh,2010,Natural Deaths,80,2,82
Andhra Pradesh,2010,Un-natural Deaths,4,0,4
Andhra Pradesh,2010,Un-natural Deaths - Suicides,4,0,4
Andhra Pradesh,2010,Un-natural Deaths - Execution,0,0,0
Andhra Pradesh,2010,Un-natural Deaths - Murder by inmates,0,0,0
Andhra Pradesh,2010,Un-natural Deaths - Death due to assault by outside elements during transit or,0,0,0
Andhra Pradesh,2010,Un-natural Deaths - Deaths due to firing,0,0,0
Andhra Pradesh,2010,Un-natural Deaths - Deaths due to negligence by Jail Personnel,0,0,0
Andhra Pradesh,2010,Un-natural Deaths - Others,0,0,0
Andhra Pradesh,2011,Natural Deaths,76,0,76
Andhra Pradesh,2011,Un-natural Deaths,0,3,3
Andhra Pradesh,2011,Un-natural Deaths - Suicides,0,3,3
Andhra Pradesh,2011,Un-natural Deaths - Execution,0,0,0
Andhra Pradesh,2011,Un-natural Deaths - Murder by inmates,0,0,0
Andhra Pradesh,2011,Un-natural Deaths - Death due to assault by outside elements during transit or,0,0,0
Andhra Pradesh,2011,Un-natural Deaths - Deaths due to firing,0,0,0
Andhra Pradesh,2011,Un-natural Deaths - Deaths due to negligence by Jail Personnel,0,0,0
Andhra Pradesh,2011,Un-natural Deaths - Others,0,0,0
Andhra Pradesh,2012,Natural Deaths,71,3,74
Andhra Pradesh,2012,Un-natural Deaths,12,0,12
Andhra Pradesh,2012,Un-natural Deaths - Suicides,1,0,1
Andhra Pradesh,2012,Un-natural Deaths - Execution,0,0,0
Andhra Pradesh,2012,Un-natural Deaths - Murder by inmates,0,0,0
Andhra Pradesh,2012,Un-natural Deaths - Death due to assault by outside elements during transit or,0,0,0
Andhra Pradesh,2012,Un-natural Deaths - Deaths due to firing,0,0,0
Andhra Pradesh,2012,Un-natural Deaths - Deaths due to negligence by Jail Personnel,0,0,0
Andhra Pradesh,2012,Un-natural Deaths - Others,11,0,11
Arunachal Pradesh,2009,Natural Deaths,0,0,0
Arunachal Pradesh,2009,Un-natural Deaths,0,0,0
Arunachal Pradesh,2009,Un-natural Deaths - Suicides,0,0,0
Arunachal Pradesh,2009,Un-natural Deaths - Execution,0,0,0
Arunachal Pradesh,2009,Un-natural Deaths - Murder by inmates,0,0,0
Arunachal Pradesh,2009,Un-natural Deaths - Death due to assault by outside elements during transit or,0,0,0
Arunachal Pradesh,2009,Un-natural Deaths - Deaths due to firing,0,0,0
Arunachal Pradesh,2009,Un-natural Deaths - Deaths due to negligence by Jail Personnel,0,0,0
Arunachal Pradesh,2009,Un-natural Deaths - Others,0,0,0
Arunachal Pradesh,2010,Natural Deaths,0,0,0
Arunachal Pradesh,2010,Un-natural Deaths,0,0,0
Arunachal Pradesh,2010,Un-natural Deaths - Suicides,0,0,0
Arunachal Pradesh,2010,Un-natural Deaths - Execution,0,0,0
Arunachal Pradesh,2010,Un-natural Deaths - Murder by inmates,0,0,0
Arunachal Pradesh,2010,Un-natural Deaths - Death due to assault by outside elements during transit or,0,0,0
Arunachal Pradesh,2010,Un-natural Deaths - Deaths due to firing,0,0,0
Arunachal Pradesh,2010,Un-natural Deaths - Deaths due to negligence by Jail Personnel,0,0,0
Arunachal Pradesh,2010,Un-natural Deaths - Others,0,0,0
Arunachal Pradesh,2011,Natural Deaths,0,0,0
Arunachal Pradesh,2011,Un-natural Deaths,0,0,0
Arunachal Pradesh,2011,Un-natural Deaths - Suicides,0,0,0
Arunachal Pradesh,2011,Un-natural Deaths - Execution,0,0,0
Arunachal Pradesh,2011,Un-natural Deaths - Murder by inmates,0,0,0
Arunachal Pradesh,2011,Un-natural Deaths - Death due to assault by outside elements during transit or,0,0,0
