State_UT_name,Year,Jail_Type,Male Convicts,Female_Convicts,Total_Convicts,Male_Under_trial,Female_Under_trial,Total_Under_trial,Male_Detenues,Female_Detenues,Total_Detenues,Male_Others,Female_Others,Total_Others,Total_Male,Total_Female,Grand_Total
Andhra Pradesh,2001,Central Jail,3372,3,3375,2718,114,2832,4,0,4,22,0,22,6116,117,6233
Andhra Pradesh,2001,District Jail,294,1,295,2379,136,2515,0,0,0,0,0,0,2673,137,2810
Andhra Pradesh,2001,Sub_Jail,188,10,198,3263,151,3414,0,0,0,0,0,0,3451,161,3612
Andhra Pradesh,2001,Women Jail,0,88,88,0,81,81,0,1,1,0,0,0,0,170,170
Andhra Pradesh,2001,Borstal School,17,0,17,0,0,0,0,0,0,0,0,0,17,0,17
Andhra Pradesh,2001,Open Jail,248,0,248,0,0,0,0,0,0,0,0,0,248,0,248
Andhra Pradesh,2001,Special Jail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2001,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2001,Total,4119,102,4221,8360,482,8842,4,1,5,22,0,22,12505,585,13090
Andhra Pradesh,2002,Central Jail,4111,4,4115,3173,157,3330,2,0,2,0,0,0,7286,161,7447
Andhra Pradesh,2002,District Jail,250,3,253,1908,108,2016,0,0,0,0,0,0,2158,111,2269
Andhra Pradesh,2002,Sub_Jail,114,1,115,2911,200,3111,0,0,0,0,0,0,3025,201,3226
Andhra Pradesh,2002,Women Jail,0,143,143,0,92,92,0,0,0,0,0,0,0,235,235
Andhra Pradesh,2002,Borstal School,28,0,28,0,0,0,0,0,0,0,0,0,28,0,28
Andhra Pradesh,2002,Open Jail,218,0,218,0,0,0,0,0,0,0,0,0,218,0,218
Andhra Pradesh,2002,Special Jail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2002,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2002,Total,4721,151,4872,7992,557,8549,2,0,2,0,0,0,12715,708,13423
Andhra Pradesh,2003,Central Jail,4305,11,4316,3280,202,3482,18,0,18,0,0,0,7603,213,7816
Andhra Pradesh,2003,District Jail,269,0,269,1927,165,2092,0,0,0,0,0,0,2196,165,2361
Andhra Pradesh,2003,Sub_Jail,125,0,125,3171,22,3193,0,0,0,0,0,0,3296,22,3318
Andhra Pradesh,2003,Women Jail,0,161,161,0,152,152,0,0,0,0,0,0,0,313,313
Andhra Pradesh,2003,Borstal School,22,0,22,0,0,0,0,0,0,0,0,0,22,0,22
Andhra Pradesh,2003,Open Jail,254,0,254,0,0,0,0,0,0,0,0,0,254,0,254
Andhra Pradesh,2003,Special Jail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2003,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2003,Total,4975,172,5147,8378,541,8919,18,0,18,0,0,0,13371,713,14084
Andhra Pradesh,2004,Central Jail,3949,15,3964,3401,194,3595,27,0,27,0,0,0,7377,209,7586
Andhra Pradesh,2004,District Jail,224,6,230,2063,174,2237,2,0,2,0,0,0,2289,180,2469
