TimePeriod,Area_Name,Indicator_Name,Data_Value
2001, Jammu & Kashmir,Non-Plan Budget,198609000
2001, Himachal Pradesh,Non-Plan Budget,48120000
2001, Punjab,Non-Plan Budget,469715000
2001,Chandigarh,Non-Plan Budget,21803000
2001, Uttarakhand,Non-Plan Budget,85359500
2001, Haryana,Non-Plan Budget,148985000
2001,Delhi,Non-Plan Budget,249600000
2001, Rajasthan,Non-Plan Budget,290687000
2001, Uttar Pradesh,Non-Plan Budget,1137909000
2001, Bihar,Non-Plan Budget,580992000
2001, Sikkim,Non-Plan Budget,11400000
2001, Nagaland,Non-Plan Budget,66392000
2001, Manipur,Non-Plan Budget,45621000
2001, Mizoram,Non-Plan Budget,46400000
2001, Tripura,Non-Plan Budget,56924000
2001, Meghalaya,Non-Plan Budget,19689437
2001, Assam,Non-Plan Budget,152985000
2001, West Bengal,Non-Plan Budget,703382000
2001, Jharkhand,Non-Plan Budget,223706000
2001, Odisha,Non-Plan Budget,280312000
2001, Chhattisgarh,Non-Plan Budget,93797123
2001, Madhya Pradesh,Non-Plan Budget,643455000
2001, Gujarat,Non-Plan Budget,239046000
2001,Daman & Diu,Non-Plan Budget,1630000
2001,Dadra & Nagar Haveli,Non-Plan Budget,500000
2001, Maharashtra,Non-Plan Budget,484387000
2001, Andhra Pradesh,Non-Plan Budget,700390000
2001, Karnataka,Non-Plan Budget,253900000
2001, Goa,Non-Plan Budget,22496000
2001,Lakshadweep,Non-Plan Budget,50000
2001, Kerala,Non-Plan Budget,201368000
2001, Tamil Nadu,Non-Plan Budget,502761000
2001,Puducherry,Non-Plan Budget,9345000
2001,Andaman & Nicobar Islands,Non-Plan Budget,10000000
2002, Jammu & Kashmir,Non-Plan Budget,206072800
2002, Himachal Pradesh,Non-Plan Budget,49915000
2002, Punjab,Non-Plan Budget,522465000
2002,Chandigarh,Non-Plan Budget,23300000
2002, Uttarakhand,Non-Plan Budget,89849000
2002, Haryana,Non-Plan Budget,183320000
2002,Delhi,Non-Plan Budget,374060000
2002, Rajasthan,Non-Plan Budget,303417000
2002, Uttar Pradesh,Non-Plan Budget,1176885000
2002, Bihar,Non-Plan Budget,633428000
2002, Sikkim,Non-Plan Budget,11400000
2002, Nagaland,Non-Plan Budget,62827000
2002, Manipur,Non-Plan Budget,49691000
2002, Mizoram,Non-Plan Budget,43990000
2002, Tripura,Non-Plan Budget,53217000
2002, Meghalaya,Non-Plan Budget,16838019
2002, Assam,Non-Plan Budget,152800000
2002, West Bengal,Non-Plan Budget,693186000
2002, Jharkhand,Non-Plan Budget,285054000
2002, Odisha,Non-Plan Budget,287302000
2002, Chhattisgarh,Non-Plan Budget,271925000
2002, Madhya Pradesh,Non-Plan Budget,647527000
2002, Gujarat,Non-Plan Budget,226615000
2002,Daman & Diu,Non-Plan Budget,1463000
2002,Dadra & Nagar Haveli,Non-Plan Budget,600000
2002, Maharashtra,Non-Plan Budget,584827000
2002, Andhra Pradesh,Non-Plan Budget,800144000
2002, Karnataka,Non-Plan Budget,306426000
2002, Goa,Non-Plan Budget,28799000
2002,Lakshadweep,Non-Plan Budget,50000
2002, Kerala,Non-Plan Budget,194705000
2002, Tamil Nadu,Non-Plan Budget,519502000
2002,Puducherry,Non-Plan Budget,9900000
2002,Andaman & Nicobar Islands,Non-Plan Budget,12808000
2003, Jammu & Kashmir,Non-Plan Budget,211681000
2003, Himachal Pradesh,Non-Plan Budget,49916000
2003, Punjab,Non-Plan Budget,471464000
2003,Chandigarh,Non-Plan Budget,24100000
2003, Uttarakhand,Non-Plan Budget,84293585
2003, Haryana,Non-Plan Budget,261110000
2003,Delhi,Non-Plan Budget,414530000
2003, Rajasthan,Non-Plan Budget,317973000
2003, Uttar Pradesh,Non-Plan Budget,1165741000
2003, Bihar,Non-Plan Budget,626193000
