TimePeriod,Area_Name,Electronic_equipments_used,Data_Value
2001, Jammu & Kashmir,CCTV,3
2001, Himachal Pradesh,CCTV,0
2001, Punjab,CCTV,11
2001,Chandigarh,CCTV,0
2001, Uttarakhand,CCTV,0
2001, Haryana,CCTV,7
2001,Delhi,CCTV,5
2001, Rajasthan,CCTV,6
2001, Uttar Pradesh,CCTV,20
2001, Bihar,CCTV,0
2001, Sikkim,CCTV,0
2001, Nagaland,CCTV,3
2001, Manipur,CCTV,0
2001, Mizoram,CCTV,0
2001, Tripura,CCTV,19
2001, Meghalaya,CCTV,2
2001, Assam,CCTV,19
2001, West Bengal,CCTV,3
2001, Jharkhand,CCTV,0
2001, Odisha,CCTV,0
2001, Chhattisgarh,CCTV,3
2001, Madhya Pradesh,CCTV,1
2001, Gujarat,CCTV,2
2001,Daman & Diu,CCTV,0
2001,Dadra & Nagar Haveli,CCTV,0
2001, Maharashtra,CCTV,1
2001, Andhra Pradesh,CCTV,49
2001, Karnataka,CCTV,2
2001, Goa,CCTV,0
2001,Lakshadweep,CCTV,0
2001, Kerala,CCTV,11
2001, Tamil Nadu,CCTV,42
2001,Puducherry,CCTV,0
2002, Jammu & Kashmir,CCTV,0
2002, Himachal Pradesh,CCTV,1
2002, Punjab,CCTV,12
2002,Chandigarh,CCTV,0
2002, Uttarakhand,CCTV,0
2002, Haryana,CCTV,7
2002,Delhi,CCTV,4
2002, Rajasthan,CCTV,6
2002, Uttar Pradesh,CCTV,46
2002, Bihar,CCTV,3
2002, Sikkim,CCTV,0
2002, Nagaland,CCTV,0
2002, Manipur,CCTV,0
2002, Mizoram,CCTV,0
2002, Tripura,CCTV,19
2002, Meghalaya,CCTV,0
2002, Assam,CCTV,0
2002, West Bengal,CCTV,16
2002, Jharkhand,CCTV,0
2002, Odisha,CCTV,0
2002, Chhattisgarh,CCTV,5
2002, Madhya Pradesh,CCTV,16
2002, Gujarat,CCTV,2
2002,Daman & Diu,CCTV,0
2002,Dadra & Nagar Haveli,CCTV,0
2002, Maharashtra,CCTV,7
2002, Andhra Pradesh,CCTV,122
2002, Karnataka,CCTV,3
2002, Goa,CCTV,0
2002,Lakshadweep,CCTV,0
2002, Kerala,CCTV,11
2002, Tamil Nadu,CCTV,42
2002,Puducherry,CCTV,0
2003, Jammu & Kashmir,CCTV,0
2003, Himachal Pradesh,CCTV,3
2003, Punjab,CCTV,14
2003,Chandigarh,CCTV,11
2003, Uttarakhand,CCTV,0
2003, Haryana,CCTV,12
2003,Delhi,CCTV,0
2003, Rajasthan,CCTV,6
2003, Uttar Pradesh,CCTV,51
2003, Bihar,CCTV,14
2003, Sikkim,CCTV,0
2003, Nagaland,CCTV,1
2003, Manipur,CCTV,0
2003, Mizoram,CCTV,0
2003, Tripura,CCTV,19
2003, Meghalaya,CCTV,2
2003, Assam,CCTV,0
2003, West Bengal,CCTV,19
2003, Jharkhand,CCTV,0
2003, Odisha,CCTV,0
2003, Chhattisgarh,CCTV,3
2003, Madhya Pradesh,CCTV,0
2003, Gujarat,CCTV,2
2003,Daman & Diu,CCTV,0
2003,Dadra & Nagar Haveli,CCTV,0
2003, Maharashtra,CCTV,13
2003, Andhra Pradesh,CCTV,122
2003, Karnataka,CCTV,3
2003, Goa,CCTV,0
2003,Lakshadweep,CCTV,0
2003, Kerala,CCTV,11
2003, Tamil Nadu,CCTV,42
2003,Puducherry,CCTV,0
2003,Andaman & Nicobar Islands,CCTV,2
2004, Jammu & Kashmir,CCTV,0
2004, Himachal Pradesh,CCTV,3
2004, Punjab,CCTV,14
2004,Chandigarh,CCTV,0
2004, Uttarakhand,CCTV,2
2004, Haryana,CCTV,12
2004,Delhi,CCTV,10
2004, Rajasthan,CCTV,6
2004, Uttar Pradesh,CCTV,51
2004, Bihar,CCTV,15
2004, Sikkim,CCTV,0
2004, Nagaland,CCTV,1
2004, Manipur,CCTV,0
2004, Mizoram,CCTV,0
2004, Tripura,CCTV,19
2004, Meghalaya,CCTV,2
2004, Assam,CCTV,0
2004, West Bengal,CCTV,30
2004, Jharkhand,CCTV,3
2004, Odisha,CCTV,1
2004, Chhattisgarh,CCTV,4
2004, Madhya Pradesh,CCTV,16
2004, Gujarat,CCTV,2
2004,Daman & Diu,CCTV,0
2004,Dadra & Nagar Haveli,CCTV,0
2004, Maharashtra,CCTV,9
2004, Andhra Pradesh,CCTV,7
