STATE/UT,YEAR,DETAILS,Male,Female,Total
ANDHRA PRADESH,2001,Parole released - Number of persons released on parole,344,0,344
ANDHRA PRADESH,2001,Parole released - Number of parole absconders,10,0,10
ANDHRA PRADESH,2001,Parole released - Number of parole absconders rearrested,2,0,2
ANDHRA PRADESH,2002,Parole released - Number of persons released on parole,285,1,286
ANDHRA PRADESH,2002,Parole released - Number of parole absconders,70,0,70
ANDHRA PRADESH,2002,Parole released - Number of parole absconders rearrested,4,0,4
ANDHRA PRADESH,2003,Parole released - Number of persons released on parole,517,0,517
ANDHRA PRADESH,2003,Parole released - Number of parole absconders,2,0,2
ANDHRA PRADESH,2003,Parole released - Number of parole absconders rearrested,0,0,0
ANDHRA PRADESH,2004,Parole released - Number of persons released on parole,389,1,390
ANDHRA PRADESH,2004,Parole released - Number of parole absconders,4,0,4
ANDHRA PRADESH,2004,Parole released - Number of parole absconders rearrested,2,0,2
ANDHRA PRADESH,2005,Parole released - Number of persons released on parole,328,2,330
ANDHRA PRADESH,2005,Parole released - Number of parole absconders,7,0,7
ANDHRA PRADESH,2005,Parole released - Number of parole absconders rearrested,3,0,3
ANDHRA PRADESH,2006,Parole released - Number of persons released on parole,400,1,401
ANDHRA PRADESH,2006,Parole released - Number of parole absconders,2,0,2
ANDHRA PRADESH,2006,Parole released - Number of parole absconders rearrested,28,0,28
ANDHRA PRADESH,2007,Parole released - Number of persons released on parole,364,1,365
ANDHRA PRADESH,2007,Parole released - Number of parole absconders,5,0,5
ANDHRA PRADESH,2007,Parole released - Number of parole absconders rearrested,5,0,5
ANDHRA PRADESH,2008,Parole released - Number of persons released on parole,685,0,685
ANDHRA PRADESH,2008,Parole released - Number of parole absconders,4,0,4
ANDHRA PRADESH,2008,Parole released - Number of parole absconders rearrested,2,0,2
ANDHRA PRADESH,2009,Parole released - Number of persons released on parole,656,1,657
ANDHRA PRADESH,2009,Parole released - Number of parole absconders,3,0,3
ANDHRA PRADESH,2009,Parole released - Number of parole absconders rearrested,3,0,3
ANDHRA PRADESH,2010,Parole released - Number of persons released on parole,603,2,605
ANDHRA PRADESH,2010,Parole released - Number of parole absconders,2,0,2
ANDHRA PRADESH,2010,Parole released - Number of parole absconders rearrested,0,0,0
ANDHRA PRADESH,2011,Parole released - Number of persons released on parole,451,4,455
ANDHRA PRADESH,2011,Parole released - Number of parole absconders,2,0,2
