TimePeriod,Area_Name,Indicator_Name,Data_Value
2001, Jammu & Kashmir,Non-Plan Expenditure,187226600
2001, Himachal Pradesh,Non-Plan Expenditure,48120000
2001, Punjab,Non-Plan Expenditure,396237000
2001,Chandigarh,Non-Plan Expenditure,21803000
2001, Uttarakhand,Non-Plan Expenditure,56990456
2001, Haryana,Non-Plan Expenditure,148985000
2001,Delhi,Non-Plan Expenditure,200033395
2001, Rajasthan,Non-Plan Expenditure,303124000
2001, Uttar Pradesh,Non-Plan Expenditure,1040969000
2001, Bihar,Non-Plan Expenditure,0
2001, Sikkim,Non-Plan Expenditure,10175313
2001, Nagaland,Non-Plan Expenditure,48391404
2001, Manipur,Non-Plan Expenditure,42989505
2001, Mizoram,Non-Plan Expenditure,36642891
2001, Tripura,Non-Plan Expenditure,56924000
2001, Meghalaya,Non-Plan Expenditure,18383960
2001, Assam,Non-Plan Expenditure,142415000
2001, West Bengal,Non-Plan Expenditure,538402818
2001, Jharkhand,Non-Plan Expenditure,220812000
2001, Odisha,Non-Plan Expenditure,280338000
2001, Chhattisgarh,Non-Plan Expenditure,90223398
2001, Madhya Pradesh,Non-Plan Expenditure,643455000
2001, Gujarat,Non-Plan Expenditure,238114790
2001,Daman & Diu,Non-Plan Expenditure,1263938
2001,Dadra & Nagar Haveli,Non-Plan Expenditure,499386
2001, Maharashtra,Non-Plan Expenditure,304873000
2001, Andhra Pradesh,Non-Plan Expenditure,692321000
2001, Karnataka,Non-Plan Expenditure,259250000
2001, Goa,Non-Plan Expenditure,19857000
2001,Lakshadweep,Non-Plan Expenditure,0
2001, Kerala,Non-Plan Expenditure,199209000
2001, Tamil Nadu,Non-Plan Expenditure,496891760
2001,Puducherry,Non-Plan Expenditure,9333000
2001,Andaman & Nicobar Islands,Non-Plan Expenditure,9947000
2002, Jammu & Kashmir,Non-Plan Expenditure,201518500
2002, Himachal Pradesh,Non-Plan Expenditure,49915000
2002, Punjab,Non-Plan Expenditure,517393000
2002,Chandigarh,Non-Plan Expenditure,23100000
2002, Uttarakhand,Non-Plan Expenditure,69173542
2002, Haryana,Non-Plan Expenditure,183320000
2002,Delhi,Non-Plan Expenditure,442964369
2002, Rajasthan,Non-Plan Expenditure,297850000
2002, Uttar Pradesh,Non-Plan Expenditure,506969000
2002, Bihar,Non-Plan Expenditure,592383000
2002, Sikkim,Non-Plan Expenditure,10175313
2002, Nagaland,Non-Plan Expenditure,62827000
2002, Manipur,Non-Plan Expenditure,40655003
2002, Mizoram,Non-Plan Expenditure,37990000
2002, Tripura,Non-Plan Expenditure,53217000
2002, Meghalaya,Non-Plan Expenditure,7344703
2002, Assam,Non-Plan Expenditure,145409000
2002, West Bengal,Non-Plan Expenditure,533906854
2002, Jharkhand,Non-Plan Expenditure,239961000
2002, Odisha,Non-Plan Expenditure,285680000
2002, Chhattisgarh,Non-Plan Expenditure,240640109
2002, Madhya Pradesh,Non-Plan Expenditure,583793000
2002, Gujarat,Non-Plan Expenditure,231920050
2002,Daman & Diu,Non-Plan Expenditure,367740
2002,Dadra & Nagar Haveli,Non-Plan Expenditure,400000
2002, Maharashtra,Non-Plan Expenditure,346569000
2002, Andhra Pradesh,Non-Plan Expenditure,344593000
2002, Karnataka,Non-Plan Expenditure,278028987
2002, Goa,Non-Plan Expenditure,21337000
2002,Lakshadweep,Non-Plan Expenditure,19302
2002, Kerala,Non-Plan Expenditure,194704903
2002, Tamil Nadu,Non-Plan Expenditure,512525000
2002,Puducherry,Non-Plan Expenditure,9365000
2002,Andaman & Nicobar Islands,Non-Plan Expenditure,12610000
2003, Jammu & Kashmir,Non-Plan Expenditure,171697300
2003, Himachal Pradesh,Non-Plan Expenditure,49916000
2003, Punjab,Non-Plan Expenditure,469000110
2003,Chandigarh,Non-Plan Expenditure,24100000
2003, Uttarakhand,Non-Plan Expenditure,27290348
2003, Haryana,Non-Plan Expenditure,269314225
2003,Delhi,Non-Plan Expenditure,424856471
2003, Rajasthan,Non-Plan Expenditure,318358000
2003, Uttar Pradesh,Non-Plan Expenditure,1117376000
2003, Bihar,Non-Plan Expenditure,602120616
2003, Sikkim,Non-Plan Expenditure,12014000
2003, Nagaland,Non-Plan Expenditure,54275000
2003, Manipur,Non-Plan Expenditure,38339500
2003, Mizoram,Non-Plan Expenditure,43460000
2003, Tripura,Non-Plan Expenditure,59065000
2003, Meghalaya,Non-Plan Expenditure,12396458
2003, Assam,Non-Plan Expenditure,186813000
2003, West Bengal,Non-Plan Expenditure,711672705
2003, Jharkhand,Non-Plan Expenditure,74095096
2003, Odisha,Non-Plan Expenditure,285998000
2003, Chhattisgarh,Non-Plan Expenditure,240640109
2003, Madhya Pradesh,Non-Plan Expenditure,583467000
2003, Gujarat,Non-Plan Expenditure,235776795
2003,Daman & Diu,Non-Plan Expenditure,1923000
