TimePeriod,Area_Name,Indicator_Name,Data_Value
2001, Jammu & Kashmir,Food Expenditure,15763500
2001, Himachal Pradesh,Food Expenditure,5910000
2001, Punjab,Food Expenditure,54787000
2001,Chandigarh,Food Expenditure,3400000
2001, Uttarakhand,Food Expenditure,9881280
2001, Haryana,Food Expenditure,58182493
2001,Delhi,Food Expenditure,46519912
2001, Rajasthan,Food Expenditure,76915000
2001, Uttar Pradesh,Food Expenditure,222868000
2001, Bihar,Food Expenditure,217820000
2001, Sikkim,Food Expenditure,2861131
2001, Nagaland,Food Expenditure,16379000
2001, Manipur,Food Expenditure,5951361
2001, Mizoram,Food Expenditure,12748699
2001, Tripura,Food Expenditure,8477208
2001, Meghalaya,Food Expenditure,4721467
2001, Assam,Food Expenditure,45700000
2001, West Bengal,Food Expenditure,87794480
2001, Jharkhand,Food Expenditure,107814000
2001, Odisha,Food Expenditure,105600000
2001, Chhattisgarh,Food Expenditure,57492046
2001, Madhya Pradesh,Food Expenditure,160886000
2001, Gujarat,Food Expenditure,60496000
2001,Daman & Diu,Food Expenditure,327434
2001,Dadra & Nagar Haveli,Food Expenditure,348812
2001, Maharashtra,Food Expenditure,96188000
2001, Andhra Pradesh,Food Expenditure,100452000
2001, Karnataka,Food Expenditure,64927396
2001, Goa,Food Expenditure,2189416
2001,Lakshadweep,Food Expenditure,0
2001, Kerala,Food Expenditure,45182824
2001, Tamil Nadu,Food Expenditure,112597136
2001,Puducherry,Food Expenditure,2312780
2001,Andaman & Nicobar Islands,Food Expenditure,5000000
2002, Jammu & Kashmir,Food Expenditure,18555300
2002, Himachal Pradesh,Food Expenditure,6211000
2002, Punjab,Food Expenditure,34864358
2002,Chandigarh,Food Expenditure,3725000
2002, Uttarakhand,Food Expenditure,10148418
2002, Haryana,Food Expenditure,63922336
2002,Delhi,Food Expenditure,51043404
2002, Rajasthan,Food Expenditure,70274000
2002, Uttar Pradesh,Food Expenditure,266317000
2002, Bihar,Food Expenditure,242975000
2002, Sikkim,Food Expenditure,2861131
2002, Nagaland,Food Expenditure,16487000
2002, Manipur,Food Expenditure,6529873
2002, Mizoram,Food Expenditure,11600000
2002, Tripura,Food Expenditure,9401924
2002, Meghalaya,Food Expenditure,4347604
2002, Assam,Food Expenditure,49206000
2002, West Bengal,Food Expenditure,104686477
2002, Jharkhand,Food Expenditure,102885000
2002, Odisha,Food Expenditure,84944000
2002, Chhattisgarh,Food Expenditure,59048105
2002, Madhya Pradesh,Food Expenditure,170520000
2002, Gujarat,Food Expenditure,56500000
2002,Daman & Diu,Food Expenditure,301974
2002,Dadra & Nagar Haveli,Food Expenditure,300000
2002, Maharashtra,Food Expenditure,138137000
2002, Andhra Pradesh,Food Expenditure,109500000
2002, Karnataka,Food Expenditure,61243933
2002, Goa,Food Expenditure,2805699
2002,Lakshadweep,Food Expenditure,19302
2002, Kerala,Food Expenditure,52667000
2002, Tamil Nadu,Food Expenditure,105682993
2002,Puducherry,Food Expenditure,2142000
2002,Andaman & Nicobar Islands,Food Expenditure,7000000
2003, Jammu & Kashmir,Food Expenditure,22153300
2003, Himachal Pradesh,Food Expenditure,6189000
2003, Punjab,Food Expenditure,327861713
2003,Chandigarh,Food Expenditure,3310000
2003, Uttarakhand,Food Expenditure,11621426
2003, Haryana,Food Expenditure,71808612
2003,Delhi,Food Expenditure,50653026
2003, Rajasthan,Food Expenditure,71790000
2003, Uttar Pradesh,Food Expenditure,250000000
2003, Bihar,Food Expenditure,246366000
2003, Sikkim,Food Expenditure,1602724
2003, Nagaland,Food Expenditure,8700000
2003, Manipur,Food Expenditure,6946800
2003, Mizoram,Food Expenditure,13000000
2003, Tripura,Food Expenditure,7949500
2003, Meghalaya,Food Expenditure,5666575
2003, Assam,Food Expenditure,61090000
2003, West Bengal,Food Expenditure,166967994
2003, Jharkhand,Food Expenditure,94638806
2003, Odisha,Food Expenditure,84382000
2003, Chhattisgarh,Food Expenditure,47998264
2003, Madhya Pradesh,Food Expenditure,164336000
2003, Gujarat,Food Expenditure,55815000
2003,Daman & Diu,Food Expenditure,348930
2003,Dadra & Nagar Haveli,Food Expenditure,300000
2003, Maharashtra,Food Expenditure,123786000
2003, Andhra Pradesh,Food Expenditure,102301000
2003, Karnataka,Food Expenditure,66128000
2003, Goa,Food Expenditure,3584384
2003,Lakshadweep,Food Expenditure,3937
2003, Kerala,Food Expenditure,51231884
2003, Tamil Nadu,Food Expenditure,112512923
2003,Puducherry,Food Expenditure,2067000
2003,Andaman & Nicobar Islands,Food Expenditure,2393000
2004, Jammu & Kashmir,Food Expenditure,25658600
2004, Himachal Pradesh,Food Expenditure,8679000
2004, Punjab,Food Expenditure,73546000
2004,Chandigarh,Food Expenditure,4000000
2004, Uttarakhand,Food Expenditure,12025530
2004, Haryana,Food Expenditure,81136561
2004,Delhi,Food Expenditure,60232520
2004, Rajasthan,Food Expenditure,70635000
2004, Uttar Pradesh,Food Expenditure,274192000
2004, Bihar,Food Expenditure,250124691
2004, Sikkim,Food Expenditure,2141144
2004, Nagaland,Food Expenditure,16330000
2004, Manipur,Food Expenditure,6861394
2004, Mizoram,Food Expenditure,14000000
2004, Tripura,Food Expenditure,9965230
2004, Meghalaya,Food Expenditure,4926354
2004, Assam,Food Expenditure,76651000
2004, West Bengal,Food Expenditure,181022375
2004, Jharkhand,Food Expenditure,100186087
2004, Odisha,Food Expenditure,93799000
2004, Chhattisgarh,Food Expenditure,61452561
