TimePeriod,Area_Name,Indicator_Name,Data_Value
2001, Jammu & Kashmir,Number of times inmates taken for medical attendance,5931
2001, Himachal Pradesh,Number of times inmates taken for medical attendance,9015
2001, Punjab,Number of times inmates taken for medical attendance,2096
2001,Chandigarh,Number of times inmates taken for medical attendance,1800
2001, Uttarakhand,Number of times inmates taken for medical attendance,22220
2001, Haryana,Number of times inmates taken for medical attendance,9101
2001,Delhi,Number of times inmates taken for medical attendance,221197
2001, Rajasthan,Number of times inmates taken for medical attendance,28326
2001, Uttar Pradesh,Number of times inmates taken for medical attendance,253731
2001, Bihar,Number of times inmates taken for medical attendance,86297
2001, Sikkim,Number of times inmates taken for medical attendance,243
2001, Nagaland,Number of times inmates taken for medical attendance,720
2001, Manipur,Number of times inmates taken for medical attendance,2017
2001, Mizoram,Number of times inmates taken for medical attendance,551
2001, Tripura,Number of times inmates taken for medical attendance,4368
2001, Meghalaya,Number of times inmates taken for medical attendance,116
2001, Assam,Number of times inmates taken for medical attendance,4942
2001, West Bengal,Number of times inmates taken for medical attendance,46717
2001, Jharkhand,Number of times inmates taken for medical attendance,11468
2001, Odisha,Number of times inmates taken for medical attendance,33927
2001, Chhattisgarh,Number of times inmates taken for medical attendance,9834
2001, Madhya Pradesh,Number of times inmates taken for medical attendance,70863
2001, Gujarat,Number of times inmates taken for medical attendance,38758
2001,Daman & Diu,Number of times inmates taken for medical attendance,90
2001,Dadra & Nagar Haveli,Number of times inmates taken for medical attendance,0
2001, Maharashtra,Number of times inmates taken for medical attendance,24191
2001, Andhra Pradesh,Number of times inmates taken for medical attendance,130750
2001, Karnataka,Number of times inmates taken for medical attendance,2788
2001, Goa,Number of times inmates taken for medical attendance,6336
2001,Lakshadweep,Number of times inmates taken for medical attendance,0
2001, Kerala,Number of times inmates taken for medical attendance,17910
2001, Tamil Nadu,Number of times inmates taken for medical attendance,9880
2001,Puducherry,Number of times inmates taken for medical attendance,540
2001,Andaman & Nicobar Islands,Number of times inmates taken for medical attendance,576
2002, Jammu & Kashmir,Number of times inmates taken for medical attendance,8937
2002, Himachal Pradesh,Number of times inmates taken for medical attendance,20602
2002, Punjab,Number of times inmates taken for medical attendance,885
2002,Chandigarh,Number of times inmates taken for medical attendance,1928
2002, Uttarakhand,Number of times inmates taken for medical attendance,22272
2002, Haryana,Number of times inmates taken for medical attendance,23765
2002,Delhi,Number of times inmates taken for medical attendance,244889
2002, Rajasthan,Number of times inmates taken for medical attendance,17051
2002, Uttar Pradesh,Number of times inmates taken for medical attendance,202856
2002, Bihar,Number of times inmates taken for medical attendance,7557
2002, Sikkim,Number of times inmates taken for medical attendance,265
2002, Nagaland,Number of times inmates taken for medical attendance,79
2002, Manipur,Number of times inmates taken for medical attendance,2031
2002, Mizoram,Number of times inmates taken for medical attendance,420
2002, Tripura,Number of times inmates taken for medical attendance,5622
2002, Meghalaya,Number of times inmates taken for medical attendance,148
2002, Assam,Number of times inmates taken for medical attendance,5287
2002, West Bengal,Number of times inmates taken for medical attendance,15144
2002, Jharkhand,Number of times inmates taken for medical attendance,19988
2002, Odisha,Number of times inmates taken for medical attendance,7513
2002, Chhattisgarh,Number of times inmates taken for medical attendance,21992
2002, Madhya Pradesh,Number of times inmates taken for medical attendance,89466
2002, Gujarat,Number of times inmates taken for medical attendance,37827
2002,Daman & Diu,Number of times inmates taken for medical attendance,95
2002,Dadra & Nagar Haveli,Number of times inmates taken for medical attendance,0
2002, Maharashtra,Number of times inmates taken for medical attendance,24539
2002, Andhra Pradesh,Number of times inmates taken for medical attendance,144447
2002, Karnataka,Number of times inmates taken for medical attendance,1769
2002, Goa,Number of times inmates taken for medical attendance,3298
2002,Lakshadweep,Number of times inmates taken for medical attendance,0
2002, Kerala,Number of times inmates taken for medical attendance,18020
2002, Tamil Nadu,Number of times inmates taken for medical attendance,14501
2002,Puducherry,Number of times inmates taken for medical attendance,609
2002,Andaman & Nicobar Islands,Number of times inmates taken for medical attendance,570
2003, Jammu & Kashmir,Number of times inmates taken for medical attendance,7658
