TimePeriod,Area_Name,Number of Vehicles Available,Data_Value
2002, Haryana,Ambulance,2
2002,Delhi,Ambulance,10
2002, Rajasthan,Ambulance,18
2002, Uttar Pradesh,Ambulance,33
2002, Bihar,Ambulance,4
2002, Sikkim,Ambulance,0
2002, Nagaland,Ambulance,1
2002, Manipur,Ambulance,2
2002, Mizoram,Ambulance,1
2002, Tripura,Ambulance,1
2002, Meghalaya,Ambulance,4
2002, Assam,Ambulance,0
2002, West Bengal,Ambulance,41
2002, Jharkhand,Ambulance,3
2002, Odisha,Ambulance,1
2002, Chhattisgarh,Ambulance,7
2002, Madhya Pradesh,Ambulance,8
2002, Gujarat,Ambulance,18
2002,Daman & Diu,Ambulance,0
2002,Dadra & Nagar Haveli,Ambulance,0
2002, Maharashtra,Ambulance,0
2002, Andhra Pradesh,Ambulance,3
2002, Karnataka,Ambulance,21
2002, Goa,Ambulance,2
2002,Lakshadweep,Ambulance,0
2002, Kerala,Ambulance,4
2002, Tamil Nadu,Ambulance,11
2002,Puducherry,Ambulance,0
2003, Jammu & Kashmir,Ambulance,4
2003, Himachal Pradesh,Ambulance,1
2003, Punjab,Ambulance,0
2003,Chandigarh,Ambulance,0
2003, Uttarakhand,Ambulance,9
2003, Haryana,Ambulance,3
2003,Delhi,Ambulance,8
2003, Rajasthan,Ambulance,18
2003, Uttar Pradesh,Ambulance,39
2003, Bihar,Ambulance,6
2003, Sikkim,Ambulance,0
2003, Nagaland,Ambulance,1
2003, Manipur,Ambulance,2
2003, Mizoram,Ambulance,1
2003, Tripura,Ambulance,1
2003, Meghalaya,Ambulance,4
2003, Assam,Ambulance,0
2003, West Bengal,Ambulance,41
2003, Jharkhand,Ambulance,8
2003, Odisha,Ambulance,1
2003, Chhattisgarh,Ambulance,6
2003, Madhya Pradesh,Ambulance,8
2003, Gujarat,Ambulance,18
2003,Daman & Diu,Ambulance,0
2003,Dadra & Nagar Haveli,Ambulance,0
2003, Maharashtra,Ambulance,0
2003, Andhra Pradesh,Ambulance,0
2003, Karnataka,Ambulance,18
2003, Goa,Ambulance,2
2003,Lakshadweep,Ambulance,0
2003, Kerala,Ambulance,7
2003, Tamil Nadu,Ambulance,11
2003,Puducherry,Ambulance,0
2003,Andaman & Nicobar Islands,Ambulance,0
2004, Jammu & Kashmir,Ambulance,3
2004, Himachal Pradesh,Ambulance,1
2004, Punjab,Ambulance,14
2004,Chandigarh,Ambulance,0
2004, Uttarakhand,Ambulance,9
2004, Haryana,Ambulance,5
2004,Delhi,Ambulance,10
2004, Rajasthan,Ambulance,23
2004, Uttar Pradesh,Ambulance,39
2004, Bihar,Ambulance,2
2004, Sikkim,Ambulance,0
2004, Nagaland,Ambulance,1
2004, Manipur,Ambulance,2
2004, Mizoram,Ambulance,1
2004, Tripura,Ambulance,1
2004, Meghalaya,Ambulance,4
2004, Assam,Ambulance,0
2004, West Bengal,Ambulance,54
2004, Jharkhand,Ambulance,8
2004, Odisha,Ambulance,1
2004, Chhattisgarh,Ambulance,5
2004, Madhya Pradesh,Ambulance,8
2004, Gujarat,Ambulance,10
2004,Daman & Diu,Ambulance,0
2004,Dadra & Nagar Haveli,Ambulance,0
2004, Maharashtra,Ambulance,21
2004, Andhra Pradesh,Ambulance,2
2004, Karnataka,Ambulance,18
2004, Goa,Ambulance,2
2004,Lakshadweep,Ambulance,0
2004, Kerala,Ambulance,7
2004, Tamil Nadu,Ambulance,10
2004,Puducherry,Ambulance,0
2004,Andaman & Nicobar Islands,Ambulance,0
2005, Jammu & Kashmir,Ambulance,3
2005, Himachal Pradesh,Ambulance,1
