STATE/UT,YEAR,No. of Convict Women Prisoners with Children,No. of Children of Convict Women Prisoners,No. of Under trial Women Prisoners with Children,No. of children of Under trial Women Prisoners,No. of Detenues Women Prisoners with Children,No. of children of Detenues Women Prisoners,No. of Other Women Prisoners with Children,No. of children of  Other Women Prisoners,Total No. of Women Prisoners with Children,Total No. of children of  Women Prisoners
ANDHRA PRADESH,2001,10,11,42,46,0,0,0,0,52,57
ANDHRA PRADESH,2002,12,13,37,39,0,0,0,0,49,52
ANDHRA PRADESH,2003,5,5,48,53,0,0,0,0,53,58
ANDHRA PRADESH,2004,17,17,33,33,0,0,0,0,50,50
ANDHRA PRADESH,2005,13,15,45,53,0,0,0,0,58,68
ANDHRA PRADESH,2006,8,9,43,46,0,0,0,0,51,55
ANDHRA PRADESH,2007,11,13,45,62,0,0,0,0,56,75
ANDHRA PRADESH,2008,10,11,65,69,0,0,0,0,75,80
ANDHRA PRADESH,2009,14,15,44,45,0,0,0,0,58,60
ANDHRA PRADESH,2010,14,15,31,32,0,0,0,0,45,47
ANDHRA PRADESH,2011,16,16,38,39,0,0,0,0,54,55
ANDHRA PRADESH,2012,16,16,38,39,0,0,0,0,54,55
ARUNACHAL PRADESH,2009,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2010,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2011,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2012,0,0,0,0,0,0,0,0,0,0
ASSAM,2001,9,9,16,17,0,0,0,0,25,26
ASSAM,2002,8,8,15,17,0,0,0,0,23,25
ASSAM,2003,10,12,35,36,0,0,0,0,45,48
ASSAM,2004,11,11,19,21,14,15,0,0,44,47
ASSAM,2005,7,7,14,14,3,5,0,0,24,26
ASSAM,2006,5,5,19,19,0,0,0,0,24,24
ASSAM,2007,7,7,26,26,0,0,0,0,33,33
ASSAM,2008,13,13,30,30,0,0,0,0,43,43
ASSAM,2009,15,15,27,27,0,0,0,0,42,42
ASSAM,2010,20,20,18,18,0,0,0,0,38,38
ASSAM,2011,25,25,30,30,0,0,0,0,55,55
ASSAM,2012,18,18,20,20,0,0,0,0,38,38
BIHAR,2001,0,0,0,0,0,0,0,0,0,0
BIHAR,2002,6,18,154,177,0,0,0,0,160,195
BIHAR,2003,7,7,176,201,0,0,0,0,183,208
BIHAR,2004,5,5,120,120,0,0,0,0,125,125
BIHAR,2005,9,26,23,68,0,0,0,0,32,94
BIHAR,2006,20,22,54,74,0,0,0,0,74,96
BIHAR,2007,13,15,162,181,0,0,0,0,175,196
BIHAR,2008,7,8,127,148,0,0,0,0,134,156
BIHAR,2009,22,24,48,55,0,0,0,0,70,79
BIHAR,2010,23,25,66,70,0,0,0,0,89,95
BIHAR,2011,9,9,121,131,0,0,0,0,130,140
BIHAR,2012,4,4,117,147,0,0,0,0,121,151
CHHATTISGARH,2012,31,32,63,66,0,0,0,0,94,98
CHHATTISGARH,2001,15,16,29,34,0,0,0,0,44,50
CHHATTISGARH,2002,25,24,41,50,0,0,0,0,66,74
CHHATTISGARH,2003,29,29,21,21,0,0,0,0,50,50
CHHATTISGARH,2004,31,29,31,30,0,0,0,0,62,59
CHHATTISGARH,2005,20,20,28,33,0,0,0,0,48,53
CHHATTISGARH,2006,17,17,44,48,0,0,0,0,61,65
CHHATTISGARH,2007,20,24,28,32,0,0,0,0,48,56
CHHATTISGARH,2008,20,22,39,41,0,0,0,0,59,63
CHHATTISGARH,2009,21,22,51,51,0,0,0,0,72,73
CHHATTISGARH,2010,24,25,41,47,0,0,0,0,65,72
CHHATTISGARH,2011,33,36,49,50,0,0,0,0,82,86
GOA,2001,0,0,2,2,0,0,0,0,2,2
GOA,2002,1,1,1,1,0,0,0,0,2,2
GOA,2003,0,0,0,0,0,0,0,0,0,0
GOA,2004,0,0,0,0,0,0,0,0,0,0
GOA,2005,0,0,1,1,0,0,0,0,1,1
GOA,2006,0,0,2,2,0,0,0,0,2,2
GOA,2007,0,0,2,2,0,0,0,0,2,2
GOA,2008,1,1,1,1,0,0,0,0,2,2
GOA,2009,1,1,2,2,0,0,0,0,3,3
GOA,2010,0,0,2,2,0,0,0,0,2,2
GOA,2011,0,0,0,0,0,0,0,0,0,0
GOA,2012,0,0,0,0,0,0,0,0,0,0
GUJARAT,2001,0,0,9,9,0,0,0,0,9,9
GUJARAT,2002,4,4,9,9,2,2,0,0,15,15
GUJARAT,2003,4,4,18,25,1,1,0,0,23,30
GUJARAT,2004,4,4,5,5,2,2,0,0,11,11
GUJARAT,2005,11,11,10,10,1,1,0,0,22,22
GUJARAT,2006,8,8,15,15,0,0,0,0,23,23
GUJARAT,2007,10,10,30,56,4,4,0,0,44,70
GUJARAT,2008,14,26,32,51,0,0,0,0,46,77
GUJARAT,2009,18,40,22,22,2,2,0,0,42,64
GUJARAT,2010,19,31,34,39,2,2,0,0,55,72
GUJARAT,2011,8,10,24,29,1,1,0,0,33,40
GUJARAT,2012,9,11,35,37,0,0,0,0,44,48
HARYANA,2001,11,12,33,36,0,0,0,0,44,48
HARYANA,2002,10,10,62,43,0,0,0,0,72,53
HARYANA,2003,10,11,47,47,0,0,0,0,57,58
HARYANA,2004,10,10,31,31,0,0,6,6,47,47
HARYANA,2005,14,14,32,32,0,0,0,0,46,46
HARYANA,2006,13,13,30,38,0,0,0,0,43,51
HARYANA,2007,17,17,35,45,0,0,0,0,52,62
HARYANA,2008,15,15,41,51,0,0,0,0,56,66
HARYANA,2009,14,17,41,47,0,0,0,0,55,64
HARYANA,2010,12,14,34,37,0,0,0,0,46,51
HARYANA,2011,13,17,35,40,0,0,0,0,48,57
HARYANA,2012,24,26,42,46,0,0,0,0,66,72
HIMACHAL PRADESH,2001,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2002,1,1,1,2,0,0,0,0,2,3
HIMACHAL PRADESH,2003,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2004,0,0,1,1,0,0,0,0,1,1
HIMACHAL PRADESH,2005,0,0,1,1,0,0,0,0,1,1
HIMACHAL PRADESH,2006,2,2,1,2,0,0,0,0,3,4
HIMACHAL PRADESH,2007,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2008,0,0,2,2,0,0,0,0,2,2
HIMACHAL PRADESH,2009,3,3,1,1,0,0,0,0,4,4
HIMACHAL PRADESH,2010,2,2,4,4,0,0,0,0,6,6
HIMACHAL PRADESH,2011,3,3,0,0,0,0,0,0,3,3
HIMACHAL PRADESH,2012,1,1,2,3,0,0,0,0,3,4
