STATE/UT,YEAR,PERIOD OF DETENTION,Male,Female,Total
ANDHRA PRADESH,2001,Upto 3 months,5545,361,5906
ANDHRA PRADESH,2001,3-6 months,1630,78,1708
ANDHRA PRADESH,2001,6-12 months,823,20,843
ANDHRA PRADESH,2001,1-2 Years,289,21,310
ANDHRA PRADESH,2001,2-3 Years,52,2,54
ANDHRA PRADESH,2001,3-5 Years,21,0,21
ANDHRA PRADESH,2001,Above 5 Years,0,0,0
ANDHRA PRADESH,2001,Total,8360,482,8842
ANDHRA PRADESH,2002,Upto 3 months,5099,445,5544
ANDHRA PRADESH,2002,3-6 months,1607,55,1662
ANDHRA PRADESH,2002,6-12 months,892,35,927
ANDHRA PRADESH,2002,1-2 Years,269,14,283
ANDHRA PRADESH,2002,2-3 Years,101,7,108
ANDHRA PRADESH,2002,3-5 Years,15,1,16
ANDHRA PRADESH,2002,Above 5 Years,9,0,9
ANDHRA PRADESH,2002,Total,7992,557,8549
ANDHRA PRADESH,2003,Upto 3 months,5505,388,5893
ANDHRA PRADESH,2003,3-6 months,1890,99,1989
ANDHRA PRADESH,2003,6-12 months,722,39,761
ANDHRA PRADESH,2003,1-2 Years,226,14,240
ANDHRA PRADESH,2003,2-3 Years,32,1,33
ANDHRA PRADESH,2003,3-5 Years,2,0,2
ANDHRA PRADESH,2003,Above 5 Years,1,0,1
ANDHRA PRADESH,2003,Total,8378,541,8919
ANDHRA PRADESH,2004,Upto 3 months,5915,452,6367
ANDHRA PRADESH,2004,3-6 months,1912,94,2006
ANDHRA PRADESH,2004,6-12 months,472,21,493
ANDHRA PRADESH,2004,1-2 Years,162,10,172
ANDHRA PRADESH,2004,2-3 Years,29,1,30
ANDHRA PRADESH,2004,3-5 Years,9,1,10
ANDHRA PRADESH,2004,Above 5 Years,0,0,0
ANDHRA PRADESH,2004,Total,8499,579,9078
ANDHRA PRADESH,2005,Upto 3 months,5716,562,6278
ANDHRA PRADESH,2005,3-6 months,2361,84,2445
ANDHRA PRADESH,2005,6-12 months,633,29,662
ANDHRA PRADESH,2005,1-2 Years,167,6,173
ANDHRA PRADESH,2005,2-3 Years,29,3,32
ANDHRA PRADESH,2005,3-5 Years,0,2,2
ANDHRA PRADESH,2005,Above 5 Years,0,0,0
ANDHRA PRADESH,2005,Total,8906,686,9592
ANDHRA PRADESH,2006,Upto 3 months,6705,519,7224
ANDHRA PRADESH,2006,3-6 months,1929,105,2034
ANDHRA PRADESH,2006,6-12 months,590,11,601
ANDHRA PRADESH,2006,1-2 Years,174,2,176
ANDHRA PRADESH,2006,2-3 Years,39,0,39
ANDHRA PRADESH,2006,3-5 Years,7,0,7
ANDHRA PRADESH,2006,Above 5 Years,1,0,1
ANDHRA PRADESH,2006,Total,9445,637,10082
ANDHRA PRADESH,2007,Upto 3 months,6082,462,6544
ANDHRA PRADESH,2007,3-6 months,1868,133,2001
ANDHRA PRADESH,2007,6-12 months,654,35,689
ANDHRA PRADESH,2007,1-2 Years,157,5,162
ANDHRA PRADESH,2007,2-3 Years,35,0,35
ANDHRA PRADESH,2007,3-5 Years,14,0,14
ANDHRA PRADESH,2007,Above 5 Years,0,0,0
ANDHRA PRADESH,2007,Total,8810,635,9445
ANDHRA PRADESH,2008,Upto 3 months,5632,487,6119
ANDHRA PRADESH,2008,3-6 months,1558,117,1675
ANDHRA PRADESH,2008,6-12 months,603,28,631
ANDHRA PRADESH,2008,1-2 Years,178,17,195
ANDHRA PRADESH,2008,2-3 Years,36,2,38
ANDHRA PRADESH,2008,3-5 Years,11,0,11
ANDHRA PRADESH,2008,Above 5 Years,0,0,0
ANDHRA PRADESH,2008,Total,8018,651,8669
ANDHRA PRADESH,2009,Upto 3 months,5391,483,5874
ANDHRA PRADESH,2009,3-6 months,1494,64,1558
ANDHRA PRADESH,2009,6-12 months,541,20,561
ANDHRA PRADESH,2009,1-2 Years,168,7,175
ANDHRA PRADESH,2009,2-3 Years,24,3,27
ANDHRA PRADESH,2009,3-5 Years,22,0,22
ANDHRA PRADESH,2009,Above 5 Years,0,0,0
ANDHRA PRADESH,2009,Total,7640,577,8217
ANDHRA PRADESH,2010,Upto 3 months,4645,458,5103
ANDHRA PRADESH,2010,3-6 months,1844,67,1911
ANDHRA PRADESH,2010,6-12 months,506,12,518
ANDHRA PRADESH,2010,1-2 Years,87,8,95
ANDHRA PRADESH,2010,2-3 Years,12,0,12
ANDHRA PRADESH,2010,3-5 Years,5,1,6
