STATE/UT,Year,TYPE OF JAIL,"Number of Central Jails",Total Capacity of male Inmates,Total Capacity of female Inmates,Total Capacity of Inmates,Male Inmate population,Female Inmate population,Total Inmate population
ANDHRA PRADESH,2001,CENTRAL JAIL,6,5522,20,5542,6116,117,6233
ANDHRA PRADESH,2001,DISTRICT JAIL,10,1751,88,1839,2673,137,2810
ANDHRA PRADESH,2001,SUB JAIL,118,2703,390,3093,3451,161,3612
ANDHRA PRADESH,2001,WOMEN JAIL,2,0,320,320,0,170,170
ANDHRA PRADESH,2001,BORSTAL SCHOOL,1,93,0,93,17,0,17
ANDHRA PRADESH,2001,OPEN JAIL,2,385,0,385,248,0,248
ANDHRA PRADESH,2001,SPECIAL JAIL,0,0,0,0,0,0,0
ANDHRA PRADESH,2001,OTHERS,0,0,0,0,0,0,0
ANDHRA PRADESH,2001,TOTAL,139,10454,818,11272,12505,585,13090
ANDHRA PRADESH,2002,CENTRAL JAIL,7,5986,128,6114,7286,161,7447
ANDHRA PRADESH,2002,DISTRICT JAIL,9,1301,76,1377,2158,111,2269
ANDHRA PRADESH,2002,SUB JAIL,118,2750,397,3147,3025,201,3226
ANDHRA PRADESH,2002,WOMEN JAIL,2,0,320,320,0,235,235
ANDHRA PRADESH,2002,BORSTAL SCHOOL,1,93,0,93,28,0,28
ANDHRA PRADESH,2002,OPEN JAIL,2,385,0,385,218,0,218
ANDHRA PRADESH,2002,SPECIAL JAIL,0,0,0,0,0,0,0
ANDHRA PRADESH,2002,OTHERS,0,0,0,0,0,0,0
ANDHRA PRADESH,2002,TOTAL,139,10515,921,11436,12715,708,13423
ANDHRA PRADESH,2003,CENTRAL JAIL,7,5966,128,6094,7603,213,7816
ANDHRA PRADESH,2003,DISTRICT JAIL,9,1357,80,1437,2196,165,2361
ANDHRA PRADESH,2003,SUB JAIL,120,2752,400,3152,3296,22,3318
ANDHRA PRADESH,2003,WOMEN JAIL,2,0,320,320,0,313,313
ANDHRA PRADESH,2003,BORSTAL SCHOOL,1,93,0,93,22,0,22
