STATE/UT,YEAR,CRIME HEAD,Male 16-18 years,Female 16-18 years,Total 16-18 years,Male 18-30 years,Female 18-30 years,Total 18-30 years,Male 30-50 years,Female 30-50 years,Total 30-50 years,Male Above 50 years,Female Above 50 years,Total Above 50 years,Total Male,Total Female,Grand Total
ANDHRA PRADESH,2001,ARMS ACT,0,0,0,7,0,7,4,0,4,0,0,0,11,0,11
ANDHRA PRADESH,2001,N.D.P.S. ACT,0,0,0,25,0,25,15,1,16,1,1,2,41,2,43
ANDHRA PRADESH,2001,GAMBLING ACT,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
ANDHRA PRADESH,2001,EXCISE ACT,0,0,0,19,1,20,27,0,27,4,0,4,50,1,51
ANDHRA PRADESH,2001,PROHIBITION ACT,0,0,0,17,1,18,24,10,34,19,1,20,60,12,72
ANDHRA PRADESH,2001,EXPLOSIVE & EXPLOSIVE SUBST. ACT,0,0,0,7,0,7,12,0,12,2,0,2,21,0,21
ANDHRA PRADESH,2001,TERRORIST & DISRUPTIVE ACTIVITIES (TATA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2001,IMMORAL TRAFFIC (PREVENTION) ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2001,INDIAN RAILWAYS ACT,0,0,0,30,0,30,11,0,11,2,0,2,43,0,43
ANDHRA PRADESH,2001,REGISTRATION OF FOREIGNERS ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2001,PROTECTION OF CIVIL RIGHTS ACT,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2
ANDHRA PRADESH,2001,SC/ST (PREVENTION OF ATROCITIES) ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2001,INDIAN PASSPORT ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2001,ESSENTIAL COMMODITIES ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2001,ANTIQUITIES AND ART TREASURE ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
