STATE/UT,Year,CRIME HEAD,Male 16-18 years,Female 16-18 years,Total 16-18 years,Male 18-30 years,Female 18-30 years,Total 18-30 years,Male 30-50 years,Female 30-50 years,Total 30-50 years,Male Above 50 years,Female Above 50 years,Total Above 50 years,Total Male,Total Female,Grand Total
ANDHRA PRADESH,2001,ARMS ACT,3,0,3,124,6,130,88,6,94,13,0,13,228,12,240
ANDHRA PRADESH,2001,N.D.P.S. ACT,1,0,1,104,9,113,134,7,141,29,0,29,268,16,284
ANDHRA PRADESH,2001,GAMBLING ACT,0,0,0,29,3,32,34,4,38,16,0,16,79,7,86
ANDHRA PRADESH,2001,EXCISE ACT,17,0,17,292,32,324,292,35,327,68,5,73,669,72,741
ANDHRA PRADESH,2001,PROHIBITION ACT,1,0,1,118,2,120,229,24,253,24,6,30,372,32,404
ANDHRA PRADESH,2001,EXPLOSIVE & EXPLOSIVE SUBST. ACT,0,0,0,37,1,38,22,2,24,0,0,0,59,3,62
ANDHRA PRADESH,2001,TERRORIST & DISRUPTIVE ACTIVITIES (TATA),0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
ANDHRA PRADESH,2001,IMMORAL TRAFFIC (PREVENTION) ACT,2,0,2,18,9,27,13,1,14,2,0,2,35,10,45
ANDHRA PRADESH,2001,INDIAN RAILWAYS ACT,4,0,4,66,1,67,56,0,56,16,0,16,142,1,143
ANDHRA PRADESH,2001,REGISTRATION OF FOREIGNERS ACT,0,0,0,4,0,4,8,0,8,0,0,0,12,0,12
ANDHRA PRADESH,2001,PROTECTION OF CIVIL RIGHTS ACT,0,0,0,7,0,7,3,0,3,0,0,0,10,0,10
ANDHRA PRADESH,2001,SC/ST (PREVENTION OF ATROCITIES) ACT,0,0,0,1,0,1,4,0,4,2,0,2,7,0,7
ANDHRA PRADESH,2001,INDIAN PASSPORT ACT,0,0,0,10,0,10,2,0,2,2,0,2,14,0,14
ANDHRA PRADESH,2001,ESSENTIAL COMMODITIES ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2001,ANTIQUITIES AND ART TREASURE ACT,0,0,0,2,0,2,4,0,4,0,0,0,6,0,6
ANDHRA PRADESH,2001,DOWRY PROHIBITION ACT,1,0,1,80,8,88,75,6,81,27,0,27,183,14,197
ANDHRA PRADESH,2001,FOREIGN EXCHANGE REGULATION ACT-1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2001,PREVENTION OF CORRUPTION ACT-1988,0,0,0,1,0,1,1,0,1,0,0,0,2,0,2
ANDHRA PRADESH,2001,CONSER.OF FORGN.EXCH.&PREV. OF SMUG.ACT,0,0,0,5,0,5,0,0,0,2,0,2,7,0,7
ANDHRA PRADESH,2001,OTHER SLL OFFENCE,0,0,0,107,6,113,102,15,117,21,0,21,230,21,251
ANDHRA PRADESH,2001,TOTAL,29,0,29,1005,77,1082,1068,100,1168,222,11,233,2324,188,2512
ANDHRA PRADESH,2002,ARMS ACT,1,0,1,139,4,143,90,2,92,9,0,9,239,6,245
ANDHRA PRADESH,2002,N.D.P.S. ACT,0,0,0,144,7,151,148,17,165,23,1,24,315,25,340
ANDHRA PRADESH,2002,GAMBLING ACT,0,0,0,27,0,27,30,0,30,13,0,13,70,0,70
ANDHRA PRADESH,2002,EXCISE ACT,4,1,5,267,39,306,220,19,239,84,6,90,575,65,640
ANDHRA PRADESH,2002,PROHIBITION ACT,5,0,5,311,30,341,298,51,349,69,12,81,683,93,776
ANDHRA PRADESH,2002,EXPLOSIVE & EXPLOSIVE SUBST. ACT,0,0,0,35,0,35,72,0,72,10,0,10,117,0,117
ANDHRA PRADESH,2002,TERRORIST & DISRUPTIVE ACTIVITIES (TATA),0,0,0,27,2,29,34,0,34,7,0,7,68,2,70
ANDHRA PRADESH,2002,IMMORAL TRAFFIC (PREVENTION) ACT,4,0,4,10,5,15,16,2,18,4,0,4,34,7,41
ANDHRA PRADESH,2002,INDIAN RAILWAYS ACT,0,0,0,35,1,36,31,0,31,2,0,2,68,1,69
ANDHRA PRADESH,2002,REGISTRATION OF FOREIGNERS ACT,0,0,0,3,0,3,3,0,3,0,0,0,6,0,6
ANDHRA PRADESH,2002,PROTECTION OF CIVIL RIGHTS ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2002,SC/ST (PREVENTION OF ATROCITIES) ACT,0,0,0,34,0,34,17,0,17,7,0,7,58,0,58
ANDHRA PRADESH,2002,INDIAN PASSPORT ACT,0,0,0,0,0,0,26,0,26,0,0,0,26,0,26
ANDHRA PRADESH,2002,ESSENTIAL COMMODITIES ACT,0,0,0,0,0,0,2,0,2,1,0,1,3,0,3
ANDHRA PRADESH,2002,ANTIQUITIES AND ART TREASURE ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2002,DOWRY PROHIBITION ACT,0,1,1,30,6,36,28,4,32,26,1,27,84,12,96
ANDHRA PRADESH,2002,FOREIGN EXCHANGE REGULATION ACT-1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2002,PREVENTION OF CORRUPTION ACT-1988,0,0,0,1,0,1,3,0,3,0,0,0,4,0,4
ANDHRA PRADESH,2002,CONSER.OF FORGN.EXCH.&PREV. OF SMUG.ACT,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
ANDHRA PRADESH,2002,OTHER SLL OFFENCE,0,0,0,71,9,80,46,4,50,7,0,7,124,13,137
ANDHRA PRADESH,2002,TOTAL,14,2,16,1134,103,1237,1064,99,1163,262,21,283,2474,225,2699
ANDHRA PRADESH,2003,ARMS ACT,0,0,0,141,5,146,92,1,93,11,0,11,244,6,250
ANDHRA PRADESH,2003,N.D.P.S. ACT,0,0,0,145,7,152,146,16,162,24,0,24,315,23,338
ANDHRA PRADESH,2003,GAMBLING ACT,0,0,0,32,0,32,35,0,35,12,0,12,79,0,79
