TimePeriod,Area_Name,Indicator_Name,Data_Value,Subgroup_Val
2001, Jammu & Kashmir,Actual Strength - Female,0,A.I.G.
2001, Jammu & Kashmir,Actual Strength - Female,0,Assistant Jailor
2001, Jammu & Kashmir,Actual Strength - Female,1,Assistant Supdt.
2001, Jammu & Kashmir,Actual Strength - Female,0,"D.G., Addl. D.G. and I.G."
2001, Jammu & Kashmir,Actual Strength - Female,0,D.I.G.
2001, Jammu & Kashmir,Actual Strength - Female,0,Dy. Jailor
2001, Jammu & Kashmir,Actual Strength - Female,0,Dy. Supdt.
2001, Jammu & Kashmir,Actual Strength - Female,0,Head Matron
2001, Jammu & Kashmir,Actual Strength - Female,2,Head Warders
2001, Jammu & Kashmir,Actual Strength - Female,0,Jailor
2001, Jammu & Kashmir,Actual Strength - Female,1,Lab Technician and Lab Attendant
2001, Jammu & Kashmir,Actual Strength - Female,0,Matron
2001, Jammu & Kashmir,Actual Strength - Female,0,Medical Officer
2001, Jammu & Kashmir,Actual Strength - Female,0,Officers
2001, Jammu & Kashmir,Actual Strength - Female,20,Other Cadres
2001, Jammu & Kashmir,Actual Strength - Female,0,Other Jail Cadre Staff
2001, Jammu & Kashmir,Actual Strength - Female,1,Other Medical Staff
2001, Jammu & Kashmir,Actual Strength - Female,3,Other Non-Gazetted Staff
2001, Jammu & Kashmir,Actual Strength - Female,0,Other Officers
2001, Jammu & Kashmir,Actual Strength - Female,1,Pharmacists
2001, Jammu & Kashmir,Actual Strength - Female,0,Probation Officer and Welfare Officer
2001, Jammu & Kashmir,Actual Strength - Female,0,Psychologists and Psychiatrists
2001, Jammu & Kashmir,Actual Strength - Female,0,Resident Medical Officer
2001, Jammu & Kashmir,Actual Strength - Female,0,Social Worker and Other Correctional Staff
2001, Jammu & Kashmir,Actual Strength - Female,1,Supdt.
2001, Jammu & Kashmir,Actual Strength - Female,77,Total Strength of Officials
2001, Jammu & Kashmir,Actual Strength - Female,47,Warders
2001, Himachal Pradesh,Actual Strength - Female,0,A.I.G.
2001, Himachal Pradesh,Actual Strength - Female,0,Assistant Jailor
2001, Himachal Pradesh,Actual Strength - Female,0,Assistant Supdt.
2001, Himachal Pradesh,Actual Strength - Female,0,"D.G., Addl. D.G. and I.G."
2001, Himachal Pradesh,Actual Strength - Female,0,D.I.G.
2001, Himachal Pradesh,Actual Strength - Female,0,Dy. Jailor
2001, Himachal Pradesh,Actual Strength - Female,0,Dy. Supdt.
2001, Himachal Pradesh,Actual Strength - Female,0,Head Matron
2001, Himachal Pradesh,Actual Strength - Female,1,Head Warders
2001, Himachal Pradesh,Actual Strength - Female,0,Jailor
2001, Himachal Pradesh,Actual Strength - Female,0,Lab Technician and Lab Attendant
2001, Himachal Pradesh,Actual Strength - Female,12,Matron
2001, Himachal Pradesh,Actual Strength - Female,0,Medical Officer
2001, Himachal Pradesh,Actual Strength - Female,0,Officers
2001, Himachal Pradesh,Actual Strength - Female,0,Other Cadres
2001, Himachal Pradesh,Actual Strength - Female,0,Other Jail Cadre Staff
2001, Himachal Pradesh,Actual Strength - Female,1,Other Medical Staff
2001, Himachal Pradesh,Actual Strength - Female,4,Other Non-Gazetted Staff
2001, Himachal Pradesh,Actual Strength - Female,0,Other Officers
2001, Himachal Pradesh,Actual Strength - Female,0,Pharmacists
2001, Himachal Pradesh,Actual Strength - Female,0,Probation Officer and Welfare Officer
2001, Himachal Pradesh,Actual Strength - Female,0,Psychologists and Psychiatrists
2001, Himachal Pradesh,Actual Strength - Female,0,Resident Medical Officer
2001, Himachal Pradesh,Actual Strength - Female,0,Social Worker and Other Correctional Staff
2001, Himachal Pradesh,Actual Strength - Female,0,Supdt.
2001, Himachal Pradesh,Actual Strength - Female,18,Total Strength of Officials
2001, Himachal Pradesh,Actual Strength - Female,0,Warders
