TimePeriod,Area_Name,Indicator_Name,Data_Value
2001, Tamil Nadu,Total Officials Trained,135
2001,Puducherry,Total Officials Trained,94
2002, Jammu & Kashmir,Total Officials Trained,183
2002, Himachal Pradesh,Total Officials Trained,10
2002, Punjab,Total Officials Trained,22
2002,Chandigarh,Total Officials Trained,6
2002, Uttarakhand,Total Officials Trained,32
2002,Delhi,Total Officials Trained,252
2002, Rajasthan,Total Officials Trained,215
2002, Uttar Pradesh,Total Officials Trained,561
2002, Bihar,Total Officials Trained,108
2002, Nagaland,Total Officials Trained,4
2002, Mizoram,Total Officials Trained,159
2002, Tripura,Total Officials Trained,1
2002, Meghalaya,Total Officials Trained,1
2002, Assam,Total Officials Trained,28
2002, West Bengal,Total Officials Trained,64
2002, Jharkhand,Total Officials Trained,46
2002, Odisha,Total Officials Trained,100
2002, Chhattisgarh,Total Officials Trained,163
2002, Madhya Pradesh,Total Officials Trained,523
2002, Gujarat,Total Officials Trained,199
2002,Daman & Diu,Total Officials Trained,4
2002, Maharashtra,Total Officials Trained,155
2002, Andhra Pradesh,Total Officials Trained,2092
2002, Karnataka,Total Officials Trained,20
2002, Goa,Total Officials Trained,40
2002, Kerala,Total Officials Trained,537
2002, Tamil Nadu,Total Officials Trained,306
2002,Puducherry,Total Officials Trained,4
2003, Jammu & Kashmir,Total Officials Trained,44
2003, Himachal Pradesh,Total Officials Trained,10
2003, Punjab,Total Officials Trained,51
2003,Chandigarh,Total Officials Trained,29
2003, Uttarakhand,Total Officials Trained,35
2003, Haryana,Total Officials Trained,525
2003,Delhi,Total Officials Trained,474
2003, Rajasthan,Total Officials Trained,104
2003, Uttar Pradesh,Total Officials Trained,467
2003, Bihar,Total Officials Trained,19
2003, Sikkim,Total Officials Trained,4
2003, Mizoram,Total Officials Trained,3
2003, Tripura,Total Officials Trained,4
2003, Meghalaya,Total Officials Trained,9
2003, Assam,Total Officials Trained,55
2003, West Bengal,Total Officials Trained,92
2003, Jharkhand,Total Officials Trained,32
2003, Odisha,Total Officials Trained,131
2003, Chhattisgarh,Total Officials Trained,143
2003, Madhya Pradesh,Total Officials Trained,362
2003, Gujarat,Total Officials Trained,220
2003, Maharashtra,Total Officials Trained,197
2003, Andhra Pradesh,Total Officials Trained,2395
2003, Karnataka,Total Officials Trained,46
2003, Goa,Total Officials Trained,40
2003, Kerala,Total Officials Trained,78
2003, Tamil Nadu,Total Officials Trained,86
2004, Jammu & Kashmir,Total Officials Trained,35
2004, Himachal Pradesh,Total Officials Trained,12
2004,Chandigarh,Total Officials Trained,32
2004, Uttarakhand,Total Officials Trained,33
2004, Haryana,Total Officials Trained,89
2004,Delhi,Total Officials Trained,114
2004, Rajasthan,Total Officials Trained,169
2004, Uttar Pradesh,Total Officials Trained,438
2004, Bihar,Total Officials Trained,68
2004, Tripura,Total Officials Trained,2
2004, Meghalaya,Total Officials Trained,8
2004, West Bengal,Total Officials Trained,194
2004, Jharkhand,Total Officials Trained,18
2004, Odisha,Total Officials Trained,23
2004, Chhattisgarh,Total Officials Trained,210
2004, Madhya Pradesh,Total Officials Trained,373
2004, Gujarat,Total Officials Trained,354
2004, Maharashtra,Total Officials Trained,470
2004, Andhra Pradesh,Total Officials Trained,4393
2004, Karnataka,Total Officials Trained,11
2004, Goa,Total Officials Trained,29
2004, Kerala,Total Officials Trained,35
2004, Tamil Nadu,Total Officials Trained,191
2004,Andaman & Nicobar Islands,Total Officials Trained,80
2005, Jammu & Kashmir,Total Officials Trained,50
2005, Himachal Pradesh,Total Officials Trained,14
2005, Punjab,Total Officials Trained,597
2005,Chandigarh,Total Officials Trained,52
2005, Uttarakhand,Total Officials Trained,52
2005,Delhi,Total Officials Trained,114
2005, Rajasthan,Total Officials Trained,84
2005, Uttar Pradesh,Total Officials Trained,498
