State/UT,YEAR,Vocation/Activity,Gross Value of Sale Proceeds / Earning (In Rs.)
ANDHRA PRADESH,2001,STEEL,3714270
ANDHRA PRADESH,2001,CARPENTRY,105414
ANDHRA PRADESH,2001,COBBLARY,89914
ANDHRA PRADESH,2001,DYING,211767
ANDHRA PRADESH,2001,DURRY,470174
ANDHRA PRADESH,2001,PHENYLE,993305
ANDHRA PRADESH,2001,SOAP,1594965
ANDHRA PRADESH,2001,SMITHY,32853
ANDHRA PRADESH,2001,TAILORING,584750
ANDHRA PRADESH,2001,WEAVING,3251992
ANDHRA PRADESH,2001,PRINTING,179392
ANDHRA PRADESH,2001,BOOK BINDING,62735
ANDHRA PRADESH,2001,COT-TAP,10416
ANDHRA PRADESH,2001,MAT WEAVING,2255
ANDHRA PRADESH,2001,TOOTH POWDER,34980
ANDHRA PRADESH,2001,CHALK PIECE,10800
ANDHRA PRADESH,2001,POLYTHENE,315315
ANDHRA PRADESH,2001,OTHERS,35775
ANDHRA PRADESH,2002,STEEL,4197529
ANDHRA PRADESH,2002,CARPENTRY,107344
ANDHRA PRADESH,2002,DURRY,476653
ANDHRA PRADESH,2002,PHENYLE,1231595
ANDHRA PRADESH,2002,SOAP,766353
ANDHRA PRADESH,2002,SMITHY,36617
ANDHRA PRADESH,2002,TAILORING,889799
ANDHRA PRADESH,2002,WEAVING,1582154
ANDHRA PRADESH,2002,PRINTING,184347
ANDHRA PRADESH,2002,BOOK BINDING,16042
ANDHRA PRADESH,2002,COT-TAP,9858
ANDHRA PRADESH,2002,MAT WEAVING,2964
ANDHRA PRADESH,2002,TOOTH POWDER,30080
ANDHRA PRADESH,2002,CHALK PIECE,14680
ANDHRA PRADESH,2002,POLYTHENE,225400
ANDHRA PRADESH,2002,MISCELLANEOUS,39995
ANDHRA PRADESH,2002,AGRICULTURE,973075
ANDHRA PRADESH,2002,DAIRY & POULTRY PRODUCTS,1552487
ANDHRA PRADESH,2003,STEEL,10467371
ANDHRA PRADESH,2003,CARPENTRY,62031
ANDHRA PRADESH,2003,DYEING,248545
ANDHRA PRADESH,2003,DURRY,814790
ANDHRA PRADESH,2003,PHENYLE,1232587
ANDHRA PRADESH,2003,SOAP,334789
ANDHRA PRADESH,2003,SMITHY,92334
ANDHRA PRADESH,2003,TAILORING,1299176
