Category,State / UT Name,Jail Type Sl.No.,Jail Type,Number of jails,Jail Sl.No.,Jail Name,Contact No.,VC for Remand Purpose,VC for Trial Purpose,VC for Other Purpose,Location1,Location2,Email ID
State,Andhra Pradesh,1,Central Jail,4,1,"Central Prison, Rajahmundry",0883-2471990,YES,NO,NO,"Central Prison, Rajahmundry East Godavari District",NA,centralprisonrajahmundry@yahoo.com
State,Andhra Pradesh,1,Central Jail,4,2,"Central Prison, Visakhapatnam",0891-2870601,YES,NO,NO,"Central Prison, Srikrishnapuram, Visakhapatnam",NA,centralprison40vsp@gmail.com
State,Andhra Pradesh,1,Central Jail,4,3,"Central Prison, Kadapa",08562-200559,YES,NO,NO,"Central Prison, Ramnjaneyapuram, Madras Road",Kadapa Ysr District,spcpkadapa@gmail.com
State,Andhra Pradesh,1,Central Jail,4,4,Central Prison Nellore,0861-2331639,NO,NO,NO,"Central Prison, Mulapet, Nellore SPSR Nellore Dist",NA,apprisonscpnlr@yahoo.com
State,Andhra Pradesh,2,District Jail,7,1,"District Jail, Vijayawada",0866-2574236,YES,NO,NO,District Jail Vijayawada Taluka Compund,Vijayawada-520003,djvijayawada@gmail.com
State,Andhra Pradesh,2,District Jail,7,2,"District Jail, Guntur",0863-2232547,YES,NO,NO,Main Road Brodipet Guntur,NA,districtjailguntur@gmail.com
State,Andhra Pradesh,2,District Jail,7,3,"District Jail, Srikakulam",08942-241251,YES,NO,NO,"District Jail, Ampolu, Gara (M) Srikakulam",NA,districtjailsrikakulam@gmail.com
State,Andhra Pradesh,2,District Jail,7,4,"District Jail, Eluru",08812-2244633,YES,NO,NO,"District jail, kotadibba, Opposite Govt. Degree","College, Eluru-534001",districtjaileluru@gmail.com
State,Andhra Pradesh,2,District Jail,7,5,District Jail Anantapur,08554-257232,YES,NO,NO,District Jail Jantaloor (Post) Bukkarayasamudram,Anatapur District,supdtjdjatp@gmail.com
State,Andhra Pradesh,2,District Jail,7,6,"District Jail, Ongole",8592280419,YES,NO,NO,"District Jail, Ongole",NA,apprison.djongole@gmail.com
State,Andhra Pradesh,2,District Jail,7,7,"District Jail, Chittoor",08572-242844,YES,NO,NO,"Greamspet, Chittoor",NA,supdtjctr@gmail.com
State,Andhra Pradesh,3,Sub Jail,98,1,"Sub Jail, Narasannapeta",NA,NO,NO,NO,"Sub Jail, Narasannapeta MRO Office Compound",Narasannapeta,NA
State,Andhra Pradesh,3,Sub Jail,98,2,"Sub Jail, Pathapatnam",NA,NO,NO,NO,"Sub Jail, pathapatnam MRO Office Compound",Narasannapeta,NA
