state_name,is_state,year,gender,convicts,under_trial,detenues,others
A & N Islands,0,2001,Female,Christian,0,0,0,0
A & N Islands,0,2001,Female,Hindu,3,1,0,0
A & N Islands,0,2001,Female,Muslim,0,0,0,0
A & N Islands,0,2001,Female,Others,0,0,0,0
A & N Islands,0,2001,Female,Sikh,0,0,0,0
A & N Islands,0,2001,Male,Christian,27,23,0,0
A & N Islands,0,2001,Male,Hindu,46,44,0,0
A & N Islands,0,2001,Male,Muslim,16,18,0,0
A & N Islands,0,2001,Male,Others,123,79,0,0
A & N Islands,0,2001,Male,Sikh,2,1,0,0
A & N Islands,0,2002,Female,Christian,0,2,0,0
A & N Islands,0,2002,Female,Hindu,4,2,0,0
A & N Islands,0,2002,Female,Muslim,0,0,0,0
A & N Islands,0,2002,Female,Others,0,0,0,0
A & N Islands,0,2002,Female,Sikh,0,0,0,0
A & N Islands,0,2002,Male,Christian,25,28,0,0
A & N Islands,0,2002,Male,Hindu,42,35,0,0
A & N Islands,0,2002,Male,Muslim,11,21,0,0
A & N Islands,0,2002,Male,Others,53,105,0,0
A & N Islands,0,2002,Male,Sikh,2,1,0,0
A & N Islands,0,2003,Female,Christian,0,1,0,0
A & N Islands,0,2003,Female,Hindu,2,0,0,0
A & N Islands,0,2003,Female,Muslim,0,0,0,0
A & N Islands,0,2003,Female,Others,0,0,0,0
A & N Islands,0,2003,Female,Sikh,0,0,0,0
A & N Islands,0,2003,Male,Christian,6,24,0,0
A & N Islands,0,2003,Male,Hindu,54,59,0,0
A & N Islands,0,2003,Male,Muslim,7,75,0,0
A & N Islands,0,2003,Male,Others,22,45,0,0
A & N Islands,0,2003,Male,Sikh,1,0,0,0
A & N Islands,0,2004,Female,Christian,0,0,0,0
A & N Islands,0,2004,Female,Hindu,2,1,0,0
A & N Islands,0,2004,Female,Muslim,0,0,0,0
A & N Islands,0,2004,Female,Others,0,0,0,0
A & N Islands,0,2004,Female,Sikh,0,0,0,0
A & N Islands,0,2004,Male,Christian,1,20,0,0
A & N Islands,0,2004,Male,Hindu,47,105,0,0
A & N Islands,0,2004,Male,Muslim,4,34,0,0
A & N Islands,0,2004,Male,Others,0,5,0,0
A & N Islands,0,2004,Male,Sikh,2,0,0,0
A & N Islands,0,2005,Female,Christian,0,1,0,0
A & N Islands,0,2005,Female,Hindu,1,1,0,0
A & N Islands,0,2005,Female,Muslim,0,1,0,0
A & N Islands,0,2005,Female,Others,0,0,0,0
A & N Islands,0,2005,Female,Sikh,0,0,0,0
A & N Islands,0,2005,Male,Christian,5,29,0,0
A & N Islands,0,2005,Male,Hindu,50,51,0,0
A & N Islands,0,2005,Male,Muslim,8,9,0,0
A & N Islands,0,2005,Male,Others,1,66,0,0
A & N Islands,0,2005,Male,Sikh,1,0,0,0
A & N Islands,0,2006,Female,Christian,0,0,0,0
A & N Islands,0,2006,Female,Hindu,1,1,0,0
A & N Islands,0,2006,Female,Muslim,0,0,0,0
A & N Islands,0,2006,Female,Others,0,0,0,0
A & N Islands,0,2006,Female,Sikh,0,0,0,0
A & N Islands,0,2006,Male,Christian,3,28,0,0
A & N Islands,0,2006,Male,Hindu,47,51,0,0
A & N Islands,0,2006,Male,Muslim,5,7,0,0
A & N Islands,0,2006,Male,Others,24,178,0,0
A & N Islands,0,2006,Male,Sikh,1,0,0,0
A & N Islands,0,2007,Female,Christian,0,0,0,0
A & N Islands,0,2007,Female,Hindu,1,1,0,0
A & N Islands,0,2007,Female,Muslim,0,0,0,0
A & N Islands,0,2007,Female,Others,0,0,0,0
A & N Islands,0,2007,Female,Sikh,0,0,0,0
A & N Islands,0,2007,Male,Christian,8,49,0,0
A & N Islands,0,2007,Male,Hindu,43,51,0,0
A & N Islands,0,2007,Male,Muslim,12,13,0,0
A & N Islands,0,2007,Male,Others,23,211,0,0
A & N Islands,0,2007,Male,Sikh,1,0,0,0
A & N Islands,0,2008,Female,Christian,0,0,0,0
A & N Islands,0,2008,Female,Hindu,0,0,0,0
A & N Islands,0,2008,Female,Muslim,0,0,0,0
A & N Islands,0,2008,Female,Others,0,0,0,0
A & N Islands,0,2008,Female,Sikh,0,0,0,0
A & N Islands,0,2008,Male,Christian,5,17,0,0
A & N Islands,0,2008,Male,Hindu,44,66,0,0
A & N Islands,0,2008,Male,Muslim,2,28,0,0
A & N Islands,0,2008,Male,Others,17,42,0,0
A & N Islands,0,2008,Male,Sikh,0,0,0,0
A & N Islands,0,2009,Female,Christian,0,0,0,0
A & N Islands,0,2009,Female,Hindu,0,0,0,0
A & N Islands,0,2009,Female,Muslim,0,0,0,0
A & N Islands,0,2009,Female,Others,0,0,0,0
A & N Islands,0,2009,Female,Sikh,0,0,0,0
A & N Islands,0,2009,Male,Christian,7,10,0,0
A & N Islands,0,2009,Male,Hindu,37,55,0,0
A & N Islands,0,2009,Male,Muslim,4,10,0,0
A & N Islands,0,2009,Male,Others,0,105,0,0
A & N Islands,0,2009,Male,Sikh,0,0,0,0
A & N Islands,0,2010,Female,Christian,0,0,0,0
A & N Islands,0,2010,Female,Hindu,0,2,0,0
A & N Islands,0,2010,Female,Muslim,0,0,0,0
A & N Islands,0,2010,Female,Others,0,0,0,0
A & N Islands,0,2010,Female,Sikh,0,0,0,0
A & N Islands,0,2010,Male,Christian,11,56,0,0
A & N Islands,0,2010,Male,Hindu,61,254,0,0
A & N Islands,0,2010,Male,Muslim,16,57,0,0
A & N Islands,0,2010,Male,Others,41,190,0,0
A & N Islands,0,2010,Male,Sikh,0,0,0,0
A & N Islands,0,2011,Female,Christian,0,0,0,0
A & N Islands,0,2011,Female,Hindu,0,5,0,0
A & N Islands,0,2011,Female,Muslim,0,2,0,0
A & N Islands,0,2011,Female,Others,0,0,0,0
A & N Islands,0,2011,Female,Sikh,0,0,0,0
A & N Islands,0,2011,Male,Christian,205,370,0,0
A & N Islands,0,2011,Male,Hindu,80,152,0,0
A & N Islands,0,2011,Male,Muslim,75,95,0,0
A & N Islands,0,2011,Male,Others,55,80,0,0
A & N Islands,0,2011,Male,Sikh,0,0,0,0
A & N Islands,0,2012,Female,Christian,0,0,0,0
A & N Islands,0,2012,Female,Hindu,0,8,0,0
A & N Islands,0,2012,Female,Muslim,0,1,0,0
A & N Islands,0,2012,Female,Others,0,0,0,0
A & N Islands,0,2012,Female,Sikh,0,0,0,0
A & N Islands,0,2012,Male,Christian,155,145,0,0
A & N Islands,0,2012,Male,Hindu,30,45,0,0
A & N Islands,0,2012,Male,Muslim,25,47,0,0
A & N Islands,0,2012,Male,Others,550,120,0,0
A & N Islands,0,2012,Male,Sikh,0,0,0,0
A & N Islands,0,2013,Female,Christian,0,0,0,0
A & N Islands,0,2013,Female,Hindu,1,6,0,0
A & N Islands,0,2013,Female,Muslim,0,1,0,0
A & N Islands,0,2013,Female,Others,0,0,0,0
A & N Islands,0,2013,Female,Sikh,0,0,0,0
A & N Islands,0,2013,Male,Christian,198,46,0,0
A & N Islands,0,2013,Male,Hindu,41,38,0,0
A & N Islands,0,2013,Male,Muslim,32,28,0,0
A & N Islands,0,2013,Male,Others,684,74,0,0
A & N Islands,0,2013,Male,Sikh,0,0,0,0
Andhra Pradesh,1,2001,Female,Christian,0,30,0,0
Andhra Pradesh,1,2001,Female,Hindu,89,407,0,0
Andhra Pradesh,1,2001,Female,Muslim,12,35,1,0
Andhra Pradesh,1,2001,Female,Others,1,8,0,0
Andhra Pradesh,1,2001,Female,Sikh,0,2,0,0
Andhra Pradesh,1,2001,Male,Christian,291,497,0,0
Andhra Pradesh,1,2001,Male,Hindu,3318,6490,4,20
Andhra Pradesh,1,2001,Male,Muslim,448,1173,0,2
Andhra Pradesh,1,2001,Male,Others,50,166,0,0
Andhra Pradesh,1,2001,Male,Sikh,12,34,0,0
Andhra Pradesh,1,2002,Female,Christian,3,21,0,0
Andhra Pradesh,1,2002,Female,Hindu,136,475,0,0
Andhra Pradesh,1,2002,Female,Muslim,12,48,0,0
Andhra Pradesh,1,2002,Female,Others,0,7,0,0
Andhra Pradesh,1,2002,Female,Sikh,0,6,0,0
Andhra Pradesh,1,2002,Male,Christian,472,530,0,0
Andhra Pradesh,1,2002,Male,Hindu,3767,6163,2,0
Andhra Pradesh,1,2002,Male,Muslim,456,1069,0,0
Andhra Pradesh,1,2002,Male,Others,14,118,0,0
Andhra Pradesh,1,2002,Male,Sikh,12,112,0,0
Andhra Pradesh,1,2003,Female,Christian,12,40,0,0
Andhra Pradesh,1,2003,Female,Hindu,134,449,0,0
Andhra Pradesh,1,2003,Female,Muslim,26,51,0,0
Andhra Pradesh,1,2003,Female,Others,0,1,0,0
