state_name,is_state,year,gender,sentence_period,age_16_18_years,age_18_30_years,age_30_50_years,age_50_above
Andhra Pradesh,1,2001,Male,Capital Punishment,0,0,0,0
Andhra Pradesh,1,2001,Male,Life Imprisonment,0,631,1252,212
Andhra Pradesh,1,2001,Male,10-13 Plus years,0,74,80,10
Andhra Pradesh,1,2001,Male,7-9 Plus years,0,87,85,8
Andhra Pradesh,1,2001,Male,5-6 Plus years,0,113,108,27
Andhra Pradesh,1,2001,Male,2-4 Plus years,3,135,112,19
Andhra Pradesh,1,2001,Male,1 Less than 2 years,0,140,128,12
Andhra Pradesh,1,2001,Male,6 months less than 1 Yr.,0,179,159,41
Andhra Pradesh,1,2001,Male,3 - 6 months,2,165,84,42
Andhra Pradesh,1,2001,Male,Less than 3 months,0,115,79,17
Andhra Pradesh,1,2002,Male,Capital Punishment,0,0,1,0
Andhra Pradesh,1,2002,Male,Life Imprisonment,0,922,1230,221
Andhra Pradesh,1,2002,Male,10-13 Plus years,0,49,107,28
Andhra Pradesh,1,2002,Male,7-9 Plus years,0,80,111,41
Andhra Pradesh,1,2002,Male,5-6 Plus years,0,111,125,29
Andhra Pradesh,1,2002,Male,2-4 Plus years,0,195,120,33
Andhra Pradesh,1,2002,Male,1 Less than 2 years,1,200,165,35
Andhra Pradesh,1,2002,Male,6 months less than 1 Yr.,0,199,139,34
Andhra Pradesh,1,2002,Male,3 - 6 months,2,122,182,6
Andhra Pradesh,1,2002,Male,Less than 3 months,0,108,112,13
Andhra Pradesh,1,2003,Male,Capital Punishment,0,0,0,0
Andhra Pradesh,1,2003,Male,Life Imprisonment,0,914,1416,332
Andhra Pradesh,1,2003,Male,10-13 Plus years,0,40,76,15
Andhra Pradesh,1,2003,Male,7-9 Plus years,0,89,112,33
Andhra Pradesh,1,2003,Male,5-6 Plus years,0,111,135,35
Andhra Pradesh,1,2003,Male,2-4 Plus years,0,167,144,47
Andhra Pradesh,1,2003,Male,1 Less than 2 years,0,153,156,52
Andhra Pradesh,1,2003,Male,6 months less than 1 Yr.,0,178,167,27
Andhra Pradesh,1,2003,Male,3 - 6 months,0,160,118,26
Andhra Pradesh,1,2003,Male,Less than 3 months,0,99,111,62
Andhra Pradesh,1,2004,Male,Capital Punishment,0,0,0,0
Andhra Pradesh,1,2004,Male,Life Imprisonment,0,953,1453,181
Andhra Pradesh,1,2004,Male,10-13 Plus years,0,49,68,15
Andhra Pradesh,1,2004,Male,7-9 Plus years,0,81,94,24
