state_name,year,vocational_trainings_program,inmates_trained
Andhra Pradesh,2001,Steel Unit,270
Andhra Pradesh,2001,Phenyl,9
Andhra Pradesh,2001,Soap Unit,115
Andhra Pradesh,2001,Weaving,328
Andhra Pradesh,2001,Tailoring Unit,122
Andhra Pradesh,2001,Durry Unit,337
Andhra Pradesh,2001,Dyeing Unit,73
Andhra Pradesh,2001,Printing Unit,143
Andhra Pradesh,2001,Coir,65
Andhra Pradesh,2001,Book Binding,4
Andhra Pradesh,2001,House Wiring,6
Andhra Pradesh,2001,Plumbering,3
Andhra Pradesh,2001,Others,23
Andhra Pradesh,2002,Steel,530
Andhra Pradesh,2002,Phenyle,16
Andhra Pradesh,2002,Soap,9
Andhra Pradesh,2002,Weaving,126
Andhra Pradesh,2002,Tailoring,90
Andhra Pradesh,2002,Durry,23
Andhra Pradesh,2002,Coir,92
Andhra Pradesh,2002,Book Binding,22
Andhra Pradesh,2002,Cotton Tape,16
Andhra Pradesh,2002,Tooth Powder,160
Andhra Pradesh,2002,Chalk Piece,116
Andhra Pradesh,2002,Others,35
Andhra Pradesh,2003,Masary,56
Andhra Pradesh,2003,Plumber,25
Andhra Pradesh,2003,Electrician,31
Andhra Pradesh,2004,Steel Unit,405
Andhra Pradesh,2004,Steel Unit,405
Andhra Pradesh,2004,Phyenyle,8
Andhra Pradesh,2004,Durry Unit,70
Andhra Pradesh,2004,Soap Unit,8
Andhra Pradesh,2004,Weaving,141
Andhra Pradesh,2004,Dyeing Unit,6
Andhra Pradesh,2004,Dtp,2
Andhra Pradesh,2004,Book Binding,10
Andhra Pradesh,2004,Carpentry Unit,5
Andhra Pradesh,2004,Tooth Powder Unit,10
Andhra Pradesh,2004,Chalk Piece Unit,10
Andhra Pradesh,2004,Candle Making,5
Andhra Pradesh,2004,Amber Charka,19
Andhra Pradesh,2004,Coir Making Unit,11
Andhra Pradesh,2004,Cover Making,10
Andhra Pradesh,2004,Electrical,6
Andhra Pradesh,2005,Steel Unit,808
Andhra Pradesh,2005,Phenyle,7
Andhra Pradesh,2005,Durry Unit,370
Andhra Pradesh,2005,Soap,11
Andhra Pradesh,2005,Weaving,320
Andhra Pradesh,2005,Tailoring,116
Andhra Pradesh,2005,Dyeing,7
Andhra Pradesh,2005,Black Smithy,66
Andhra Pradesh,2005,Dtp,12
Andhra Pradesh,2005,Book Binding,11
Andhra Pradesh,2005,Carpentry,26
Andhra Pradesh,2005,Electrical Motor Vinding,7
Andhra Pradesh,2005,Tooth Powder,10
Andhra Pradesh,2005,Candle,5
Andhra Pradesh,2005,Chalk,5
Andhra Pradesh,2005,Coir Mat,10
Andhra Pradesh,2005,Cover Making,17
Andhra Pradesh,2005,Amber Charka,17
Andhra Pradesh,2005,Masanary,30
Andhra Pradesh,2005,Plumber,30
Andhra Pradesh,2005,Electrician,30
Andhra Pradesh,2006,Amber Charka,17
Andhra Pradesh,2006,Book Binding,6
Andhra Pradesh,2006,Candle Unit,10
Andhra Pradesh,2006,Carpentry,12
Andhra Pradesh,2006,Chalkpiece,10
Andhra Pradesh,2006,Coir Making Unit,97
